academic_advisors,allegiance,alma_mater,alt,alt 2,appointed,author_abbrev_bot,author_abbrev_zoo,author_abbreviation_bot,author_abbreviation_zoo,awards,battles,birth_date,birth_name,birth_place,branch,c,caption,child,children,citizenship,credits,death_cause,death_date,death_place,doctoral_advisor,doctoral_students,education,embed,embed_title,employer,ethnicity,eva_time,evas,father,field,fields,footnotes,honorific prefix,honorific_prefix,honorific_suffix,image,image_size,image_upright,influenced,influences,insignia,known_for,landscape,mi,mission,missions,module,module2,mother,name,nationality,native_name,native_name_lang,notable_students,occupation,office,order,other_names,p,parents,parliamentarygroup,partner,predecessor,prizes,rank,relatives,religion,residence,resting place,resting_place,resting_place_coordinates,restingplace,retirement,s,selection,serviceyears,signature,spouse,successor,t,term,term_end,term_start,termlabel,thesis_title,thesis_url,thesis_year,time,type,w,website,work_institution,work_institutions,workplaces,wuu,years_active,yearsactive,{{marriage|duke mondy|1968|1972|end,{{marriage|foster johnson|1951|1951|end
,,,"Li speaking at a conference, standing at a podium with the AI for Good logo visible on the podium",,,,,,,{{Plainlist| <!-- only include awards notable enough to have dedicated pages--> * Elected to [[National Academy of Engineering]] (2020) * [[National Academy of Medicine]] (2020) * [[American Academy of Arts and Sciences]] (2021) * [[ACM Fellow]] (2018) * [[VinFuture Prize]] (2024) * [[Queen Elizabeth Prize for Engineering]] (2025)}},,{{birth date and age|1976|7|3}},,"[[Beijing]], [[China]]",,,"Li at [[ITU AI for Good|AI for Good]], 2017",,2,,,,,,{{Plainlist| * [[Pietro Perona]] * [[Christof Koch]]}},{{Plainlist| * [[Olga Russakovsky]] * [[Timnit Gebru]] * [[Andrej Karpathy]]<ref name=kphd>{{cite thesis|degree=PhD|title=Connecting Images and Natural Language|url= https://searchworks.stanford.edu/view/11849345|website=stanford.edu|year = 2016|first=Andrej|last=Karpathy|publisher=Stanford University}}</ref>}},"{{ubl |[[Princeton University]] ([[Bachelor of Arts|BA]]) |[[California Institute of Technology]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])}}",,,,,,,,,[[Electrical engineering]],,,,,Fei-Fei Li at AI for Good 2017.jpg,,,,,,{{Plainlist| * [[Computer vision]] * [[Machine learning]] * [[Artificial intelligence]] * [[AI in healthcare]] * [[Cognitive neuroscience]] * [[ImageNet]]}},,,,,,,,Fei-Fei Li,,{{small|{{nobold|李飞飞}}}},,,,,,,,,,,,,,,,,,,,,,,,,,[[Silvio Savarese]],,,,,,,Visual Recognition: Computational Models and Human Psychophysics,https://thesis.library.caltech.edu/2390/,2005,,,,{{Official URL}} }},,,{{plainlist| * [[Stanford University]] * [[Google]]}},,,,,
,,,,,,,,,,,,{{Birth date and age|df=yes|1947|12|06}},Geoffrey Everest Hinton,"[[Wimbledon, London|Wimbledon]], England",,,Hinton speaking at the Nobel Prize Lectures in Stockholm in 2024,,,,,,,,,,,,,,,,,[[H.&nbsp;E. Hinton]],,{{Plainlist| * [[Machine learning]] * [[Psychology]] * [[Artificial intelligence]] * [[Cognitive science]] * [[Computer science]]<ref name=googlescholar/>}},,,,{{post-nominals|country=CAN|CC|FRS|FRSC|size=100%}},"Geoffrey E. Hinton, 2024 Nobel Prize Laureate in Physics (cropped1).jpg",,,,,,,,,,,,,,Geoffrey Hinton,,,,,,,,,,,,,,,,{{hlist | [[Colin Clark (economist)|Colin Clark]] (uncle) | [[George Boole]] (great-great-grandfather) | [[Mary Everest Boole]] (great-great-grandmother) | [[George Everest]] (great-great-granduncle) | [[Joan Hinton]] (first cousin once removed) }},,,,,,,,,,,,{{ubl | Joanne<ref name=NewYorkerProfile/> | {{marriage|Rosalind Zalin||1994|end=d.}}<ref name=NewYorkerProfile/> | {{marriage|Jacqueline Ford|1997|2018|end=d.}}<ref name=NewYorkerProfile/>}},,,,,,,,,,,,,,"{{Plainlist| * [[University of Toronto]] * [[Google]] * [[Carnegie Mellon University]] * [[University College London]] * [[University of California, San Diego]] }}",,,,,,,
,,,,,,,,,,[[Prix Marie-Victorin|Marie-Victorin Prize]] (2017)<br>[[Turing Award]] (2018)<br/>[[AAAI Fellow]] (2019)<br />[[Legion of Honor]] (2022)<br />[[VinFuture Prize]] (2024) <br />[[Honorary Doctorate]] (2025),,{{birth date and age|1964|3|5}},,"[[Paris]], France",,,Bengio in 2025,,,Canada,,,,,Renato De Mori<ref name=mathgene/>,,"[[McGill University]] ([[Bachelor of Science|BS]], [[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,,,,,,,,[[Machine learning]]<br>[[Deep learning]]<br>[[Artificial intelligence]]<ref name=gs/>,,,,{{post-nominals|country=CAN|OC|OQ|FRS|FRSC|size=100}},ICLR 2025 - Yoshua Bengio 02.jpg,,,,,,{{Plainlist| * [[Deep learning]] * [[Neural machine translation]] * [[Generative adversarial networks]] * [[Attention (machine learning)|Attention models]] * [[Word embedding]]s * [[Denoising autoencoder]]s * [[Language model]]s * [[Learning to learn]] * [[Flow-based generative model|Generative flow networks]]}},,,,,,,,Yoshua Bengio,,,,[[Ian Goodfellow]]<ref name=mathgene/>,,,,,,,,,,,,[[Samy Bengio]] (brother),,,,,,,,,,,<!--(filename only)-->,,,,,,,,Artificial Neural Networks and their Application to Sequence Recognition,https://escholarship.mcgill.ca/concern/theses/qv33rx48q,1991,,,,{{URL|https://yoshuabengio.org/}} }},,,[[Université de Montréal]]<br>[[Mila (research institute)|MILA]]<br>[[Element AI]],,,,,
,,,,,,,,,,,,{{birth date and age|1960|07|08|df=y}},,"[[Soisy-sous-Montmorency]], France<!-- DO NOT LINK, see [[MOS:GEOLINK]] for further guidance -->",,,LeCun in 2024,,,,,,,,,,,,,,,,,,,Computer science,,,,,Laura Chaubard & Yann Le Cun - 2024 (53814052697) (cropped).jpg,,,,,,,,,,,,,,Yann LeCun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Plainlist| * [[Bell Labs]] (1988–1996) * [[New York University]] * [[Meta Platforms|Meta]] }},,,,,
,,,,,,,,,,,,,,,,,Ng in 2017,,,,,,,,,,"[[Carnegie Mellon University]] ([[Bachelor of Science|BS]])<br>[[Massachusetts Institute of Technology]] ([[Master of Science|MS]])<br>[[University of California, Berkeley]] ([[Doctor of Philosophy|PhD]])",,,,,,,,"[[Computer science]], artificial intelligence, [[machine learning]], [[natural language processing]], [[computer vision]]",,,,,,Andrew Ng at TechCrunch Disrupt SF 2017.jpg,,,,,,,,,,,,,,Andrew Ng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{ plainlist | *[[Stanford University]] *[[Google Brain]] *[[Coursera]] *[[Baidu]] }},,,,,
,,,Sir Tim Berners Lee arriving at the Guildhall to receive the Honorary Freedom of the City of London,,,,,,,{{ubil|[[Turing Award]] (2016)|[[Queen Elizabeth Prize]] (2013)|[[Foreign Associate of the National Academy of Sciences]] (2009)|[[Order of Merit]] (2007)|[[ACM Software System Award]] (1995)}},,{{birth date and age|1955|6|8|df=y}},Timothy John Berners-Lee,"London, England",,,Berners-Lee in 2024,,2 children<br>3 step-children,,,,,,,,"[[Queen's College, Oxford]] ([[Bachelor of Arts|BA]])",,,,,,,[[Conway Berners-Lee]],Computer science,,,,[[Knight Bachelor|Sir]],{{post-nominals|country=GBR|size=100%|OM|KBE|FRS|RDI|FRSA|DFBCS|FREng}},LS3 4919 (cropped).jpg,,,,,,Invention of the [[World Wide Web]],,,,,{{Infobox scientist|embed=yes,,[[Mary Lee Woods]],Tim Berners-Lee,,,,,,,,{{hlist|TimBL|TBL}},,,,,,,,,,,,,,,,,,,Tim Berners-Lee signature.svg }},{{plainlist| * {{marriage|Nancy Carlson|1990|2011|end=div}} * {{marriage|[[Rosemary Leith]]|2014}}}},,,,,,,,,,,,,{{URL|w3.org/People/Berners-Lee}},,,{{hlist|[[CERN]]|[[Massachusetts Institute of Technology]]|[[World Wide Web Consortium]]|[[University of Oxford]]|[[University of Southampton]]}}}},,,,,
,,,,,,,,,,,,{{birth date and age|1943|06|23}},Vinton Gray Cerf,"[[New Haven, Connecticut]], U.S.",,,Cerf in 2016,,,,,,,,"[[Gerald Estrin]]<ref name=""cerfphd"">{{cite thesis |degree=PhD |first=Vinton|last=Cerf |title=Multiprocessors, Semaphores, and a Graph Model of Computation |publisher=University of California, Los Angeles |date=1972 |url=https://www.proquest.com/docview/302671529|author-link=Vint Cerf|oclc=4433713032 |id={{ProQuest|302671529}} }}</ref>",,"[[Stanford University]] ([[Bachelor of Science|BS]])<br>[[University of California, Los Angeles]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,,,,,,,[[Telecommunications]],,,,,{{postnominals|country=GBR|size=100%|ForMemRS}},Dr Vint Cerf ForMemRS (cropped).jpg,,,,,,[[TCP/IP]]<br>[[Internet Society]],,,,,,,,Vinton Cerf,,,,,,,,,,,,,,"{{Plainlist| * [[ACM Fellow]] <small>(1994)</small> * [[IEEE Alexander Graham Bell Medal]] <small>(1997)</small> * [[IEEE Medal of Honor]] <small>(2023)</small> * [[National Medal of Technology]] <small>(1997)</small> * [[Marconi Prize]] {{small|(1998)}} * [[Prince of Asturias Award]] <small>(2002)</small> * [[Turing Award]] <small>(2004)</small> * [[Presidential Medal of Freedom]] <small>(2005)</small> * [[Japan Prize]] <small>(2008)</small> * [[Harold Pender Award]] <small>(2010)</small> * [[Queen Elizabeth Prize for Engineering]] <small>(2013)</small> * [[Fellow of the Royal Society|ForMemRS]] <small>(2016)</small><ref name=frs>{{cite web|archive-url=https://web.archive.org/web/20160429121111/https://royalsociety.org/people/vint-cerf-12851/|archive-date=April 29, 2016|url=https://royalsociety.org/people/vint-cerf-12851/|publisher=[[Royal Society]]|location=London|title=Dr Vint Cerf ForMemRS|author=Anon|year=2016}} One or more of the preceding sentences incorporates text from the royalsociety.org website where: {{blockquote|“All text published under the heading 'Biography' on Fellow profile pages is available under [[Creative Commons license|Creative Commons Attribution 4.0 International License]].” --{{cite web |url=https://royalsociety.org/about-us/terms-conditions-policies/ |title=Royal Society Terms, conditions and policies |access-date=2016-03-09 |url-status=live |archive-url=https://web.archive.org/web/20150925220834/https://royalsociety.org/about-us/terms-conditions-policies/ |archive-date=September 25, 2015}}}}</ref>}}",,,,,,,,,,,,,Signature of Vint Cerf.png,,,,,,,,"Multiprocessors, Semaphores, and a Graph Model of Computation",https://www.proquest.com/docview/302671529/,1972,,,,{{URL|https://research.google/people/author32412/}} }},,,"[[IBM]],<ref name=""vita"">[http://www.icann.org/correspondence/cerf-testimony-08feb01.htm#Vita Cerf's ''curriculum vitae'' as of February 2001], attached to a transcript of his testimony that month before the [[United States House Energy Subcommittee on Telecommunications and the Internet]], from [[ICANN]]'s website</ref> [[International Institute of Information Technology, Hyderabad]],<ref name = ""vita""/><ref>{{cite web|url=https://www.iiit.ac.in/about/governing-council/|title=Governing Council - IIIT Hyderabad|website=www.iiit.ac.in|date=August 20, 2022 }}</ref> [[University of California, Los Angeles|UCLA]],<ref name=""vita""/> [[Stanford University]],<ref name=""vita""/> [[DARPA]],<ref name=""vita""/> [[MCI Inc.|MCI]],<ref name=""vita""/><ref name=""washpost"">[https://www.washingtonpost.com/wp-srv/politics/campaigns/wh2000/stories/gore032199.htm Gore Deserves Internet Credit, Some Say], a March 1999 ''[[Washington Post]]'' article</ref> [[Corporation for National Research Initiatives|CNRI]],<ref name=""vita""/> [[Google]]<ref name=""google"">[http://www.google.com/press/pressrel/vintcerf.html Cerf's up at Google], from the [[Google]] Press Center</ref>",,,,,
,,[[University of Helsinki]] (M.S.)<ref>{{cite web|url=https://www.computerhistory.org/fellowawards/hall/linus-torvalds/ |archive-url=https://web.archive.org/web/20100709010531/http://www.computerhistory.org/fellowawards/hall/bios/Linus%2CTorvalds/ |url-status=live |archive-date=9 July 2010 |title=Linus Torvalds 2008 Fellow }}</ref>,,,,,,,,,,{{Birth date and age|df=yes|1969|12|28}},Linus Benedict Torvalds,"[[Helsinki]], Finland",,,Torvalds in 2018,,,,,,,,,,,,,,,,,,,,,,,,Lc3 2018 (263682303) (cropped).jpeg,,,,,,,,,,,,,,Linus Torvalds,{{flatlist| * Finnish * American<ref>{{cite web |last1=Corbet |first1=Jonathan |url=https://lwn.net/Articles/404729/ |title=Citizen Linus |date=13 September 2010 |access-date=2024-12-10 |archive-date=25 June 2018 |archive-url=https://web.archive.org/web/20180625065302/https://lwn.net/Articles/404729/ |url-status=live }}</ref> }},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,{{birth date|1941|09|09}},Dennis MacAlistair Ritchie,"[[Bronxville, New York]], U.S.",,,Ritchie in 2011,,,,,,{{circa}} {{death date and age|2011|10|12|1941|9|9}},"[[Berkeley Heights, New Jersey]], U.S.",[[Patrick C. Fischer]],,[[Harvard University]] ([[Bachelor of Science|BS]]),,,,,,,,[[Computer science]],,,,,,Dennis Ritchie 2011.jpg,,,,,,[[ALTRAN]]<br/>[[B (programming language)|B]]<br/>[[BCPL]]<br/>[[C (programming language)|C]]<br/>[[Multics]]<br/>[[Unix]],,,,,,,,Dennis Ritchie,,,,,,,,,,,,,,"[[IEEE Emanuel R. Piore Award]] (1982)<ref>{{cite web |url=http://www.ieee.org/documents/piore_rl.pdf |title=IEEE Emanuel R. Piore Award Recipients |publisher=[[IEEE]] |accessdate=March 20, 2021|archive-url=https://web.archive.org/web/20101124232834/http://ieee.org/documents/piore_rl.pdf |archive-date=November 24, 2010 |url-status=dead}}</ref><br/>[[Turing Award]] (1983)<br/>[[National Medal of Technology]] (1998)<br/>[[IEEE Richard W. Hamming Medal]] (1990)<br/>[[Computer Pioneer Award]] (1994)<br/>[[Computer History Museum]] Fellow (1997)<ref name=""Computerhistory""/><br/>[[Harold Pender Award]] (2003)<br/>[[Japan Prize]] (2011)",,,,,,,,,,,,,,,,,,,,,,,,,,,{{URL|https://www.nokia.com/bell-labs/about/dennis-m-ritchie/}} }},,,[[Lucent Technologies]]<br/>[[Bell Labs]],,,,,
,,,,,,,,,,,,{{birth date and age|1943|02|04|mf=yes}},Kenneth Lane Thompson,"[[New Orleans]], [[Louisiana]], U.S.",,,"Thompson, 2019",,,,,,,,,,"[[University of California, Berkeley]] ([[Bachelor of Science|BS]], [[Master of Science|MS]])",,,,,,,,[[Computer science]],,}},,,,"File:Ken Thompson, 2019.jpg",,,,,,{{plainlist| *[[Multics]] *[[Unix]] *[[B (programming language)]] *[[C (programming language)]] *[[Belle (chess machine)]] *[[UTF-8]] *[[Plan 9 from Bell Labs]] *[[Inferno (operating system)]] *[[grep]] *[[Endgame tablebase]] *[[Go (programming language)|Go]]}},,,,,,,,Ken Thompson,,,,,,,,,,,,,,"{{plainlist| *[[IEEE Emanuel R. Piore Award]] <small>(1982)</small><ref>{{cite web |url=http://www.ieee.org/documents/piore_rl.pdf |title=IEEE Emanuel R. Piore Award Recipients |publisher=[[IEEE]] |accessdate=March 20, 2021|archive-url=https://web.archive.org/web/20101124232834/http://ieee.org/documents/piore_rl.pdf |archive-date=November 24, 2010 |url-status=dead }}</ref> *[[Turing Award]] <small>(1983)</small> *[[Member of the National Academy of Sciences]] <small>(1985)</small><ref name=nasmember/> *[[IEEE Richard W. Hamming Medal]] {{small|(1990)}} *[[Computer Pioneer Award]] <small>(1994)</small> *[[National Medal of Technology]] <small>(1998)</small> *[[Tsutomu Kanai Award]] <small>(1999)</small> *[[Harold Pender Award]] <small>(2003)</small> *[[Japan Prize]] <small>(2011)</small>}}",,,,,,,,,,,,,,,,,,,,,,,,,,,http://cs.bell-labs.co/who/ken/,"{{plainlist| *[[Bell Labs]] *Entrisphere, Inc *[[Google]]}}",,,,,,,
,,{{ indented plainlist | *[[Aarhus University]] ([[Cand.scient.]]) *[[University of Cambridge]] ([[Doctor of Philosophy|PhD]]) }},,,,,,,,,,{{birth date and age|1950|12|30|df=y}},,"[[Aarhus]], [[Denmark]]",,,Stroustrup in 2013,,2,,,,,,"[[David Wheeler (computer scientist)|David Wheeler]]<ref name=""mathgene"">{{MathGenealogy}}</ref>",,,,,,,,,,,,,,,,Bjarne Stroustrup (2013).jpg,,,,,,[[C++]],,,,,,,,Bjarne Stroustrup,[[Denmark|Danish]],,,,,,,,,,,,,,,,,,,,"<!-- {{Coord|LAT|LONG|type:landmark|display=inline,title}} -->",,,,,,,{{marriage|Marian Tinson|1975}},,,,,,,,https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.474113,1979,,,,,,,{{ubl|[[Aarhus University]]|[[University of Cambridge]]|[[Texas A&M University]]|[[Bell Labs]]|[[Morgan Stanley]]|[[Columbia University]]}},,,,,
,,,,,,,,,,,,{{Birth date and age|1955|05|19}},James Arthur Gosling,"[[Calgary]], [[Alberta]], Canada",,,Gosling in 2008,,,,,,,,,,,,,,,,,,,,,,,{{post-nominals|country=CAN|OC|size=100%}},James Gosling 2008.jpg,,,,,,,,,,,,,,James Gosling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{plainlist| * [[Sun Microsystems]] * [[Oracle Corporation]] * [[Google]] * [[Liquid Robotics]]<ref name=""nighthacks1"">[http://nighthacks.com/jag/blog/373/index.html I've moved again : On a New Road]. Nighthacks.com. Retrieved on 2016-05-17.</ref> * [[Amazon Web Services]] }}",,,,,
,,[[University of Amsterdam]] ([[Bachelor of Science|BS]]),,,,,,,,[[Award for the Advancement of Free Software]] (2001),,"{{Birth date and age|1956|1|31|df=y}}<ref>{{cite web|url=http://mail.python.org/pipermail/python-dev/2007-January/070849.html|title=(Python-Dev) Happy Birthday, Guido!|last=van Rossum|first=Guido|publisher=Python-Dev mailing list|date=31 January 2007|url-status=live|archive-url=https://web.archive.org/web/20090908131440/http://mail.python.org/pipermail/python-dev/2007-January/070849.html|archive-date=8 September 2009}}</ref>",,"[[The Hague]], Netherlands<ref>{{Cite web|url=http://www.computerhistory.org/atchm/2018-chm-fellow-guido-van-rossum-python-creator-benevolent-dictator-for-life/ |archive-url=https://web.archive.org/web/20180724114116/http://www.computerhistory.org/atchm/2018-chm-fellow-guido-van-rossum-python-creator-benevolent-dictator-for-life/|title=2018 Museum Fellow Guido van Rossum, Python Creator & Benevolent Dictator for Life|website=Computer History Museum|date=5 April 2018|first=Hansen|last=Hsu|archive-date=24 July 2018|access-date=19 May 2021|url-status=live}}</ref>",,,Van Rossum in 2024,,1<ref>{{cite web|url=http://wiki.codecall.net/Guido_van_Rossum |title=Guido van Rossum |publisher=CodeCall Programming Wiki |archive-url=https://web.archive.org/web/20081031103755/http://wiki.codecall.net/Guido_van_Rossum |archive-date=31 October 2008}}</ref>,,,,,,,,,,,[[Microsoft]],,,,,,,,,,,Guido van Rossum in PyConUS24 (cropped).jpg,,,,,,Creating the [[Python (programming language)|Python programming language]],,,,,,,,Guido van Rossum,,,,,"Computer programmer, author",,,,,,,,,,,,,,,,,,,,,,,{{marriage|Kim Knapp|2000}},,,,,,,,,,,,,{{URL|https://gvanrossum.github.io/}} }},,,,,,,,
,,{{ubl,Headshot of Brendan Eich,,,,,,,,,{{birth date and age|1961|7|4}},,"[[Pittsburgh]], [[Pennsylvania]], US",,,Eich in 2012,,,,,,,,,,,,,,,,,,,,,,,,Brendan Eich Mozilla Foundation official photo.jpg,,,,,,"Creation of [[JavaScript]] and co-founder of [[Mozilla]] project, [[Mozilla Foundation]], and [[Mozilla Corporation]]",,,,,,,,Brendan Eich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{Official URL}} }},,,,,,,,
,,[[MIT]],,,,,,,,[[Internet Hall of Fame]]<br>[[National Inventors Hall of Fame]] }},,{{Birth date and age|1951,,"[[Portsmouth, Virginia]], US",,,Perlman in 2009,,,,,,,,[[David D. Clark]],,,,,,,,,,[[Computer Science]],,,,,,Radia Perlman 2009.jpg,,,,,,Network and security protocols; computer books,,,,,,,,Radia Perlman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Network layer protocols with Byzantine robustness,http://dspace.mit.edu/handle/1721.1/14403,1988,,,,,[[Intel]],,,,,,,
,,,,,,,,,,,,{{birth date|df=y|1815|12|10}},Hon. Augusta Ada Byron,"London, England",,,Daguerreotype of Lovelace by Antoine Claudet ({{circa|1843}})<ref>{{cite web | url=https://blogs.bodleian.ox.ac.uk/adalovelace/2015/10/14/only-known-photographs-of-ada-lovelace-in-bodleian-display/ | title=Only known photographs of Ada Lovelace in Bodleian Display | date=14 October 2015 }}</ref>,,"{{plainlist| * [[Byron King-Noel, Viscount Ockham]] * [[Anne Blunt, 15th Baroness Wentworth]] * [[Ralph King-Milbanke, 2nd Earl of Lovelace]]}}",,,,{{death date and age|df=y|1852|11|27|1815|12|10}},"[[Marylebone]], London, England",,,,,,,,,,,,,,,[[The Right Honourable]],,Ada Lovelace daguerreotype by Antoine Claudet 1843 - cropped.png,220,,,,,,,,,,,,,The Countess of Lovelace,British,,,,,,,,,"{{Plainlist | * [[Lord Byron|George Byron, 6th Baron Byron]] (father) * [[Lady Byron|Anne Isabella Milbanke]] (mother) }}",,,,,,,,,"[[Church of St. Mary Magdalene, Hucknall]], Nottingham, England",,,,,,,,,"{{marriage|[[William King-Noel, 1st Earl of Lovelace]]|1835}}",,,,,,,,,,,,,,,,,,,,,
,,,Katherine Johnson,,,,,,,{{unbulleted list|[[Presidential Medal of Freedom]] (2015)|[[Silver Snoopy award]] (2016)|[[NASA Group Achievement Award]] (2016)|[[Congressional Gold Medal]] (2019)}},,{{Birth date|1918|08|26}},Creola Katherine Coleman,"[[White Sulphur Springs, West&nbsp;Virginia]], U.S.",,,Johnson in 1983,,3,,,,{{Death date and age|2020|02|24|1918|08|26}},"[[Newport News, Virginia]], U.S.",,,[[West Virginia State University]] ([[Bachelor of Science|BS]]),,,{{hlist|[[National Advisory Committee for Aeronautics|NACA]]|[[NASA]] (1953–1986)}},,,,,,,,,,,Katherine Johnson 1983.jpg,,,,,,Calculating trajectories for NASA missions,,,,,,,,Katherine Johnson,,,,,"[[Human computer]], computer programmer, mathematics teacher",,,Katherine Goble,,,,,,,,,,,,,,,,,,,,{{unbulleted list|{{marriage|James Goble|1939|1956|end=died}}|{{marriage|Jim Johnson|1959|2019|end=died}}}},,,,,,,,,,,,,{{URL|https://katherinejohnson.net}} }},,,,,,,,
,United States,,,,,,,,,{{plainlist| * [[Defense Distinguished Service Medal]] * [[Legion of Merit]] * [[Meritorious Service Medal (USA)|Meritorious Service Medal]] * [[American Campaign Medal]] * [[World War II Victory Medal]] * [[National Defense Service Medal]] * [[Armed Forces Reserve Medal]] with two [[Hourglass Device]]s * [[Naval Reserve Medal]] * [[Presidential Medal of Freedom]] (posthumous)}},,{{birth date|1906|12|9}},Grace Brewster Murray,"[[New York City]], [[New York (state)|New York]], U.S.",[[United States Navy]],,Hopper in 1984,,,,,,{{death date and age|1992|1|1|1906|12|9}},"[[Arlington County, Virginia]], U.S.",[[Øystein Ore]],,"[[Vassar College]] ([[Bachelor of Arts|BA]])<br>[[Yale University]] ([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,Military career,,,,,,,Computer science<br>Mathematics,,,,,"Commodore Grace M. Hopper, USN (covered) head and shoulders crop.jpg",,,,,,{{plainlist| * [[FLOW-MATIC]] * [[COBOL]]}}}} }},,,,,{{Infobox military person |embed=yes,{{Infobox scientist | embed=yes,,Grace Hopper,,,,,,,,,,,,,,,[[Rear admiral (United States)#Rear admiral (lower half)|Rear admiral (lower half)]]}},,,,,,,[[Arlington National Cemetery]],,,,1943–1986,,{{marriage|Vincent Hopper|1930|1945|end=div}},,,,,,,New Types of Irreducibility Criteria,https://www.proquest.com/docview/301795588/,1934,,,,,,,{{plainlist| * [[Vassar College]] * [[Yale University]] * [[Harvard University]] * [[University of Pennsylvania]] * [[Eckert–Mauchly Computer Corporation]] * [[Remington Rand]] * [[Digital Equipment Corporation]]}},,,,,
,,,,,,,,,,,,{{Birth date|mf=yes|1914|11|9}},Hedwig Eva Maria Kiesler,"[[Vienna]], [[Austria-Hungary]]",,,"Lamarr, {{circa|1944}}",,3 }},"{{plainlist| * Austria (until 1938)<ref>{{Cite web|url=https://ima.org.uk/16506/historical-notes-the-fantastic-lives-of-hedy-lamarr/|title=Historical Notes: The Fantastic Lives of Hedy Lamarr|first=Snezana|last=Lawrence|date=April 12, 2021}}</ref> * [[Statelessness|Stateless]] (1938–1953) * US (from 1953)}}",,,{{Death date and age|mf=yes|2000|1|19|1914|11|9}},"[[Casselberry, Florida]], US",,,,,,,,,,,,,,,,,Hedy Lamarr Publicity Photo for The Heavenly Body 1944.jpg,,,,,,,,,,,,,,Hedy Lamarr,,,,,{{hlist|Actress|inventor}},,,,,,,,,,,,,,,,,,,,,,,{{plainlist| * {{marriage|[[Friedrich Mandl]]|1933|1937|end=div}} * {{marriage|[[Gene Markey]]|1939|1941|end=div}} * {{marriage|[[John Loder (actor)|John Loder]]|1943|1947|end=div}} * {{marriage|[[Teddy Stauffer]]|1951|1952|end=div}} * {{marriage|W. Howard Lee|1953|1960|end=div}} * {{marriage|Lewis J. Boies|1963|1965|end=div}}}},,,,,,,,,,,,,,,,,,,1930–1958,,
,,,,,,,,,,,,{{birth date|1910|9|20}},Dorothy Jean Johnson,"[[Kansas City, Missouri]], U.S.",,,,,6,,,,{{death date and age|2008|11|10|1910|9|20}},"[[Hampton, Virginia]], U.S.",,,[[Wilberforce University]] ([[Bachelor of Arts|BA]]),,,,,,,,,,,,,,Dorothy Vaughan 2.jpg,,,,,,,,,,,,,,Dorothy Vaughan,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{marriage| Howard Vaughan |1932|1955|end=d}},,,,,,,,,,,,,,,"[[National Advisory Committee for Aeronautics|NACA]], [[Langley Research Center]] }}",,,,,,
,,,portrait,,,,,,,"[[Presidential Medal of Freedom]] (2013, posthumous)",,{{birth date|1951|5|26}},Sally Kristen Ride,"[[Los Angeles]], California, U.S.",,,Ride in 1984,yes,,,,,{{death date and age|2012|7|23|1951|5|26}},"[[La Jolla]], California, U.S.",,,"[[Swarthmore College]]<br>[[University of California, Los Angeles]]<br>[[Stanford University]] ([[Bachelor of Arts|BA]], [[Bachelor of Science|BS]], [[Master of Science|MS]], [[Doctor of Philosophy|PhD]])",,,,,,,,,,,,,,Sally Ride (1984).jpg,,,,,[[File:STS-7_patch.svg|45px|alt=STS-7 mission patch]] [[File:STS-41G_Patch.svg|45px|alt=STS-41-G mission patch]],,,,{{ubl| *[[STS-7]] *[[STS-41-G]]}},,{{Infobox astronaut,,,Sally Ride,,,,,,,,,,,,[[Tam O'Shaughnessy]] (1985–2012),,,,,,,,,,,"August 15, 1987}} }}",,[[NASA Astronaut Group 8|NASA Group 8 (1978)]],,,{{marriage|[[Steven Hawley]]|1982|1987|end=div}},,,,,,,,,,14d 7h 46m,[[NASA]] astronaut,,,,,,,,,,
,,,,,,,,,,,,{{birth date and age|1956|10|17}},Mae Carol Jemison,"[[Decatur, Alabama]], U.S.",,,Jemison in July 1992,,,,,,,,,,"[[Stanford University]] ([[Bachelor of Arts|BA]], [[Bachelor of Science|BS]])<br/>[[Cornell University]] ([[Doctor of Medicine|MD]])",,,,,,,,,,,,,,Mae Carol Jemison.jpg,,,,,[[File:Sts-47-patch.png|58px|STS-47]],,,,[[STS-47]],,,,,Mae Jemison,,,,,,,,,,,,,,,,,,,,,,,March 1993 }},,[[NASA Astronaut Group 12|NASA Group 12 (1987)]],,,,,,,,,,,,,7d 22h 30m,[[NASA astronaut]],,,,,,,,,,
