1blankname,1namedata,allegiance,alma_mater,alongside,alongside1,alongside2,alt,associated_acts,awards,background,battles,battles_label,birth_date,birth_name,birth_place,branch,burial_place,caps1,caps10,caps11,caps12,caps13,caps14,caps15,caps16,caps17,caps18,caps2,caps3,caps4,caps5,caps6,caps7,caps8,caps9,caption,children,club-update,clubnumber,clubs1,clubs10,clubs11,clubs12,clubs13,clubs14,clubs15,clubs16,clubs17,clubs18,clubs2,clubs3,clubs4,clubs5,clubs6,clubs7,clubs8,clubs9,commands,country,currentclub,death_date,death_place,deputy1,draws,fideid,full_name,fullname,genre,goals1,goals10,goals11,goals12,goals13,goals14,goals15,goals16,goals17,goals18,goals2,goals3,goals4,goals5,goals6,goals7,goals8,goals9,height,honorific_prefix,honorific_suffix,image,image_size,imagesize,influenced,influences,ko,label,laterwork,losses,managerclubs1,managerclubs2,managerclubs3,managerclubs4,managerclubs5,managerclubs6,managerclubs7,manageryears1,manageryears2,manageryears3,manageryears4,manageryears5,manageryears6,manageryears7,medaltemplates,memorials,module,monuments,movement,name,nationalcaps1,nationalcaps2,nationalcaps3,nationalcaps4,nationalcaps5,nationalgoals1,nationalgoals2,nationalgoals3,nationalgoals4,nationalgoals5,nationality,nationalteam-update,nationalteam1,nationalteam2,nationalteam3,nationalteam4,nationalteam5,nationalyears1,nationalyears2,nationalyears3,nationalyears4,nationalyears5,native_name,native_name_lang,nickname,no contests,ntupdate,occupation,office,office1,office3,order,origin,otherparty,party,pcupdate,peakranking,peakrating,placeofburial,placeofburial_coordinates,placeofburial_label,position,predecessor,predecessor1,predecessor2,predecessor3,president,president1,primeminister,primeminister1,primeminister2,rank,reach,realname,reign,reign1,reign2,reign3,relations,residence,resting_place,servicenumber,serviceyears,signature,spouse,spouse-type,spouses,style,succession,succession1,succession2,succession3,successor,successor1,successor2,successor3,successor5,term_end,term_end1,term_end2,term_end3,term_start,term_start1,term_start2,term_start3,title,total,totalcaps,totalgoals,unit,upright,website,weight,wins,years1,years10,years11,years12,years13,years14,years15,years16,years17,years18,years2,years3,years4,years5,years6,years7,years8,years9,years_active,youthclubs1,youthclubs2,youthclubs3,youthyears1,youthyears2,youthyears3,youthyears4
,,,,,,,,,,,,,{{Birth date and age|1970|9|17|df=y}},,"[[Tashkent]], [[Uzbek SSR]], [[Soviet Union]]",,,1,45,,21,24,21,,,,,22,1,96,25,21,64,33,12,Qosimov in 2022,,,,[[FC FShM Moscow|FShM Moscow]],[[PFC Krylia Sovetov Samara|Krylia Sovetov Samara]],[[Al Shabab Al Arabi Club Dubai|Al-Shabab Dubai]],[[Pakhtakor Tashkent FK|Pakhtakor Tashkent]],[[FC Spartak Vladikavkaz|Alania Vladikavkaz]],[[FK Mash'al Mubarek|Mash'al Mubarek]],,,,,[[Pakhtakor Tashkent FK|Pakhtakor Tashkent]],[[FC Dinamo Minsk|Dinamo Minsk]],[[Pakhtakor Tashkent FK|Pakhtakor Tashkent]],[[FC Spartak Vladikavkaz|Spartak Vladikavkaz]],[[Pakhtakor Tashkent FK|Pakhtakor Tashkent]],[[FC Spartak Vladikavkaz|Alania Vladikavkaz]],[[Pakhtakor Tashkent FK|Pakhtakor Tashkent]],[[FC Spartak Vladikavkaz|Alania Vladikavkaz]],,,[[FC AGMK|AGMK]] (manager),,,,,,,Mirjalol Kushakovich Qosimov,,0,6,4,12,3,6,,,,,1,0,12,3,12,25,28,2,{{height|m=1.74}},,,Fayzullaev Kasymov Fayziev (Mirjalol Qosimov).jpg,,,,,,,,,[[FC Bunyodkor|Bunyodkor]],[[Uzbekistan national football team|Uzbekistan]],[[FC Bunyodkor|Bunyodkor]],[[Uzbekistan national football team|Uzbekistan]],[[FC Bunyodkor|Bunyodkor]],[[FC AGMK|AGMK]] }},,2007–2008,2008–2010,2010–2014,2012–2015,2017–2018,2019–,,,,,,,Mirjalol Qosimov,31,3,67,,,3,0,31,,,,,[[Soviet Union national under-18 football team|Soviet Union U18]],[[Soviet Union national under-21 football team|Soviet Union U21]],[[Uzbekistan national football team|Uzbekistan]],,,1986–1987,1990–1991,1992–2005,,,,,,,,,,,,,,,,,,,,,,[[Midfielder]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986,2000–2001,2002,2002–2003,2003–2004,2005,,,,,1987–1988,1988,1988–1991,1992,1993,1994–1996,1997–1999,1999,,[[Pakhtakor Tashkent FK|Pakhtakor Tashkent]],,,,,,
,,,,,,,,,,,,,{{birth date and age|1976|4|12|df=y}},,"[[Tashkent]], [[Uzbekistan]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70 m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dilmurod Nazarov,,,,,,,,,,,,,,,,,,1995–1997 | nationalteam1 = [[Uzbekistan national football team|Uzbekistan]] |nationalcaps1 =  10| nationalgoals1 = 0 }},,,,,,,,,,,,,,,,,,,,,,,,[[Midfielder]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992–1993 | clubs1 = [[Pakhtakor Tashkent]]          | caps1 = 15|goals1 = 0,2003      | clubs10 = [[Taraz Dzhambul]]             | caps10 = 24|goals10 = 10,2004      | clubs11 = [[FC Yassi|Yassi Sayram]]      | caps11 = 28|goals11 = 5,2005      | clubs12 = [[Kaysar Kyzylorda]]           | caps12 = 28|goals12 = 6,2005      | clubs13 = [[FC Ordabasy|Ordabasy]]       | caps13 = 12|goals13 = 2,2006      | clubs14 = [[Navbahor Namangan]]          | caps14 = 9|goals14 = 3,,,,,1993      | clubs2 = [[FC Ordabasy|SKIF-Ordabasy]]   | caps2 = 1|goals2 = 0,1995–1998 | clubs3 = [[Pakhtakor Tashkent]]          | caps3 = 115|goals3 = 45,1999      | clubs4 = [[Traktor Tashkent]]            | caps4 = 11|goals4 = 4,1999      | clubs5 = [[FC Ordabasy|Sintez Shymkent]] | caps5 = 5|goals5 = 2,2000      | clubs6 = [[Pakhtakor Tashkent]]          | caps6 = 6|goals6 = 1,2001      | clubs7 =[[Surkhon Termez]]                  | caps7 = 4|goals7 = 1,2001      | clubs8 = [[Taraz Dzhambul]]              | caps8 = 24|goals8 = 4,2002      | clubs9 = [[Kaysar Kyzylorda]]            | caps9 = 28|goals9 = 6,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|1996|02|13|df=yes}},,"Shorqorgon, [[Namangan Region]], [[Uzbekistan]]",,,70,,,,,,,,,,41,8,56,23,0,1,,,,,,5,[[FC Nasaf|Nasaf]],,,,,,,,,,[[Pakhtakor Tashkent FK|Pakhtakor]],[[Shabab Al-Ahli Club|Shabab Al-Ahli]],[[Pakhtakor Tashkent FK|Pakhtakor]],[[PFC Navbahor Namangan|Navbahor]],[[Bunyodkor]],[[Tractor S.C.]],,,,,[[Tractor S.C.]],,,,,,,Odiljon Hamrobekov,,2,,,,,,,,,,0,0,1,1,0,0,,,1.78 m,,,Odiljon Hamrobekov 2020.jpg,,,,,,,,,,,,,,,,,,,,,,,{{MedalCountry|{{fb|UZB}}}} {{Medal|Competition|[[CAFA Nations Cup]]}} {{Medal|RU|[[2023 CAFA Nations Cup|2023 Kyrgyzstan–Uzbekistan]]|[[2023 CAFA Nations Cup squads#Uzbekistan|Team]]}} {{Medal|W|[[2025 CAFA Nations Cup|2025 Tajikistan–Uzbekistan]]|[[2025 CAFA Nations Cup squads#Uzbekistan|Team]]}},,,,,Odiljon Hamrobekov,4,7,14,62,,0,0,0,1,,,,[[Uzbekistan national under-17 football team|Uzbekistan U-17]],[[Uzbekistan national under-19 football team|Uzbekistan U-19]],[[Uzbekistan national under-23 football team|Uzbekistan U-23]],[[Uzbekistan national football team|Uzbekistan]],,2013,2014–2015,2017–2018,2017–,,,,,,19 November 2024 }},,,,,,,,,1 December 2024,,,,,,[[Midfielder]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013–2018,,,,,,,,,,2019–2020,2021,2021–2023,2024,2025,2025–,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|1996|7|24|df=yes}},,"[[Bekabad]], [[Uzbekistan]]",,,93 <!--- league appearances only --->,,,,,,,,,,9,48,2,10,37,7,,,Khamdamov with [[FC Anzhi Makhachkala|Anzhi Makhachkala]] in 2018,,,17,[[FC Bunyodkor|Bunyodkor]],,,,,,,,,,[[FC Anzhi Makhachkala|Anzhi Makhachkala]],[[Pakhtakor Tashkent FK|Pakhtakor]],[[Al-Nasr SC (Dubai)|Al-Nasr]],→ [[Hatta Club|Hatta]] (loan),[[Pakhtakor Tashkent FK|Pakhtakor]],→ [[Al-Sailiya SC|Al-Sailiya]] (loan),,,,,[[Pakhtakor Tashkent FK|Pakhtakor]],,,,,,,"Dostonbek Khurshid o'g'li Khamdamov<ref name=""RFPLregistration"">{{RPL player|Hamdamov-Dostonbek}}</ref>",,37 <!--- league goals only --->,,,,,,,,,,0,16,0,0,4,1,,,{{convert|1.78|m|ftin|0|abbr=on}},,,Dostonbek Khamdamov 2018.jpg,,,,,,,,,,,,,,,,,,,,,,,{{MedalCountry | {{UZB}} }} {{MedalSport  | Men's [[Association football|football]]}}{{MedalCompetition|[[AFC U-16 Championship]]}} {{MedalGold|[[2012 AFC U-16 Championship|2012 Iran]]|[[2012 AFC U-16 Championship squads#Uzbekistan|Team]]}} {{MedalCompetition|[[AFC U-19 Championship]]}} {{MedalBronze|[[2014 AFC U-19 Championship|2014 Myanmar]]|[[2014 AFC U-19 Championship squads#Uzbekistan|Team]]}} {{MedalCompetition|[[AFC U-23 Championship]]}} {{MedalGold|[[2018 AFC U-23 Championship|2018 China]]|[[2018 AFC U-23 Championship squads#Uzbekistan|Team]]}} }},,,,,Dostonbek Khamdamov <br>{{small| Достонбек Хамдамов}},4,5,4,12,33,0,1,3,4,5,,,[[Uzbekistan national under-17 football team|Uzbekistan U17]],[[Uzbekistan national under-19 football team|Uzbekistan U19]],[[Uzbekistan national under-20 football team|Uzbekistan U20]],[[Uzbekistan national under-23 football team|Uzbekistan U23]],[[Uzbekistan national football team|Uzbekistan]],2013,2014,2014–2015,2015–2018,2015–,,,,,"08:04, 20 November 2022 (UTC)",,,,,,,,,"11:42, 19 May 2023 (UTC)",,,,,,[[Midfielder#Winger|Winger]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014–2018,,,,,,,,,,2018–2019,2019–2020,2021,2021,2021–,2022,,,,,,,,,,
,,,[[Tashkent Institute of Irrigation and Melioration]],,,,,,,,,,{{birth date and age|1957|7|24|df=y}},,"[[Zomin District]], Uzbek SSR, Soviet Union<br>(present-day [[Uzbekistan]])",,,,,,,,,,,,,,,,,,,,,"Official portrait, 2018","3, including [[Saida Mirziyoyeva|Saida]]",,,,,,,,,,,,,,,,,,,,,,,,,,{{ubl|Abdulla Aripov|[[Ergash Shoismatov]]|Abdulla Aripov}},,,,,,,,,,,,,,,,,,,,,,,,,[[Excellency|His Excellency]],,Shavkat Mirziyoyev official portrait (cropped 2).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shavkat Mirziyoyev,,,,,,,,,,,,,,,,,,,,,,,{{nobold|Шавкат Мирзиёев}},uz,,,,,2nd [[President of Uzbekistan]],3rd [[Prime Minister of Uzbekistan]],Chairman of the [[Organization of Turkic States]],,,{{ubl|[[Communist Party of the Soviet Union]]|[[Self-Sacrifice National Democratic Party]] (until 2008)|[[Uzbekistan National Revival Democratic Party|National Revival Democratic Party]] (2008–2016)}},[[Uzbekistan Liberal Democratic Party|Liberal Democratic Party]] (2016–present),,,,,,,,{{ubl|[[Islam Karimov]]|[[Nigmatilla Yuldashev]] (Acting)}},[[Oʻtkir Sultonov]],,[[Recep Tayyip Erdoğan]],,{{ubl|Islam Karimov|Nigmatilla Yuldashev (Acting)|Himself (Acting)}},Himself<br />[[Abdulla Aripov]],,,,,,,,,,,"[[Qibray District]], [[Tashkent]]",,,,,[[Ziroat Mirziyoyeva]],,,,,,,,,Abdulla Aripov,,,,,14 December 2016,,,14 December 2016<br />Acting: 8 September 2016 – 14 December 2016,12 December 2003,,11 November 2022,,,,,,,https://president.uz/en }},,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Deputy,Ochilboy Ramatov,,[[Tashkent University of Information Technologies]],,[[Rustam Azimov]],"[[Rustam Azimov]], Achilbay Ramatov, Zoyir Mirzaev, Gulomjon Ibragimov",,,"{{Orden ""Mehnat Shuhrati""}}",,,,{{birth date and age|1961|5|24|df=y}},,"[[Tashkent]], [[Uzbek SSR]], [[Soviet Union]]",,,,,,,,,,,,,,,,,,,,,Aripov in 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minnikhanov on Vladimir Putin's state visit to Uzbekistan (2024-05-27) 11 (cropped) (cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdulla Aripov,,,,,,,,,,,[[Uzbekistan]]i,,,,,,,,,,,,{{nobold|Абдулла Орипов}} }},,,,,,4th [[Prime Minister of Uzbekistan]],Deputy Prime Minister of Uzbekistan,,,,,[[Uzbekistan Liberal Democratic Party|Liberal Democratic Party]],,,,,,,,[[Shavkat Mirziyoyev]],[[Ergash Shoismatov]],,,[[Shavkat Mirziyoyev]],,,[[Shavkat Mirziyoyev]],[[O‘tkir Sultonov]]<br>[[Shavkat Mirziyoyev]],,,,,,,,,,,,,,,,,,,,,,,Achilbay Ramatov,[[Ergash Shoismatov]],,,,14 December 2016,August 2012,,14 December 2016,12 September 2016,30 May 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"[[Abdulla Aripov]], Achilbay Ramatov, Zoyir Mirzaev and Gulomjon Ibragimov",,,,,,,,,{{nowrap|{{birth date and age|1958|9|20}}}},Rustam Sadykovich Asimov,"[[Tashkent]], [[Soviet Union]]<br>{{small|(now [[Uzbekistan]])}}",,,,,,,,,,,,,,,,,,,,,,[[Islom Azimov]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rustam Azimov 20150127.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rustam Azimov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy Prime Minister of Uzbekistan,[[Ministry of Finance (Uzbekistan)|Minister of Finance]],,,,,}},,,,,,,,[[Bright Fayzullayev]],[[Saidahmad Rahimov]],[[Baxtiyor Hamidov]],,,,[[Shavkat Mirziyoyev]]<br>[[Abdulla Aripov]],[[Shavkat Mirziyoyev]],[[Oʻtkir Sultonov]],,,,,,,,,,,,,,,,,,,,,,[[Jamshed Kuchkarev]],[[Botir Xoʻjayev]],[[Mamarizo Nurmurodov]],,,6 June 2017,15 December 2016,8 November 2000,,4 February 2005,22 November 2005,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,[[Tashkent Institute of Irrigation and Melioration]],,,,,,,,,,{{birth date and age|1957|7|24|df=y}},,"[[Zomin District]], Uzbek SSR, Soviet Union<br>(present-day [[Uzbekistan]])",,,,,,,,,,,,,,,,,,,,,"Official portrait, 2018","3, including [[Saida Mirziyoyeva|Saida]]",,,,,,,,,,,,,,,,,,,,,,,,,,{{ubl|Abdulla Aripov|[[Ergash Shoismatov]]|Abdulla Aripov}},,,,,,,,,,,,,,,,,,,,,,,,,[[Excellency|His Excellency]],,Shavkat Mirziyoyev official portrait (cropped 2).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shavkat Mirziyoyev,,,,,,,,,,,,,,,,,,,,,,,{{nobold|Шавкат Мирзиёев}},uz,,,,,2nd [[President of Uzbekistan]],3rd [[Prime Minister of Uzbekistan]],Chairman of the [[Organization of Turkic States]],,,{{ubl|[[Communist Party of the Soviet Union]]|[[Self-Sacrifice National Democratic Party]] (until 2008)|[[Uzbekistan National Revival Democratic Party|National Revival Democratic Party]] (2008–2016)}},[[Uzbekistan Liberal Democratic Party|Liberal Democratic Party]] (2016–present),,,,,,,,{{ubl|[[Islam Karimov]]|[[Nigmatilla Yuldashev]] (Acting)}},[[Oʻtkir Sultonov]],,[[Recep Tayyip Erdoğan]],,{{ubl|Islam Karimov|Nigmatilla Yuldashev (Acting)|Himself (Acting)}},Himself<br />[[Abdulla Aripov]],,,,,,,,,,,"[[Qibray District]], [[Tashkent]]",,,,,[[Ziroat Mirziyoyeva]],,,,,,,,,Abdulla Aripov,,,,,14 December 2016,,,14 December 2016<br />Acting: 8 September 2016 – 14 December 2016,12 December 2003,,11 November 2022,,,,,,,https://president.uz/en }},,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"[[Abdulla Aripov]], Achilbay Ramatov, Zoyir Mirzaev and Gulomjon Ibragimov",,,,,,,,,{{nowrap|{{birth date and age|1958|9|20}}}},Rustam Sadykovich Asimov,"[[Tashkent]], [[Soviet Union]]<br>{{small|(now [[Uzbekistan]])}}",,,,,,,,,,,,,,,,,,,,,,[[Islom Azimov]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rustam Azimov 20150127.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rustam Azimov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy Prime Minister of Uzbekistan,[[Ministry of Finance (Uzbekistan)|Minister of Finance]],,,,,}},,,,,,,,[[Bright Fayzullayev]],[[Saidahmad Rahimov]],[[Baxtiyor Hamidov]],,,,[[Shavkat Mirziyoyev]]<br>[[Abdulla Aripov]],[[Shavkat Mirziyoyev]],[[Oʻtkir Sultonov]],,,,,,,,,,,,,,,,,,,,,,[[Jamshed Kuchkarev]],[[Botir Xoʻjayev]],[[Mamarizo Nurmurodov]],,,6 June 2017,15 December 2016,8 November 2000,,4 February 2005,22 November 2005,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{birth date and age|1962|11|5|df=y}},,"[[Tashkent]], [[Soviet Union]]",,,,,,,,,,,,,,,,,,,,,Yuldashev in 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigmatilla Yuldashev.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nigmatilla Yuldashev,,,,,,,,,,,,,,,,,,,,,,,{{No bold|Ниғматилла Йўлдошев}},uz,,,,,Chairman of the [[Senate of Uzbekistan|Senate]],[[President of Uzbekistan]]<br>{{small|Acting}},,,,,[[Uzbekistan National Revival Democratic Party|National Revival Democratic Party]] }},,,,,,,,Ilgizar Sabirov,[[Islam Karimov]],,,,,,[[Shavkat Mirziyoyev]],,,,,,,,,,,,,,,,,,,,,,,[[Tanzila Norbaeva]],[[Shavkat Mirziyoyev]],,,,21 June 2019,8 September 2016,,,22 January 2015,2 September 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Deputy,Ochilboy Ramatov,,[[Tashkent University of Information Technologies]],,[[Rustam Azimov]],"[[Rustam Azimov]], Achilbay Ramatov, Zoyir Mirzaev, Gulomjon Ibragimov",,,"{{Orden ""Mehnat Shuhrati""}}",,,,{{birth date and age|1961|5|24|df=y}},,"[[Tashkent]], [[Uzbek SSR]], [[Soviet Union]]",,,,,,,,,,,,,,,,,,,,,Aripov in 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minnikhanov on Vladimir Putin's state visit to Uzbekistan (2024-05-27) 11 (cropped) (cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdulla Aripov,,,,,,,,,,,[[Uzbekistan]]i,,,,,,,,,,,,{{nobold|Абдулла Орипов}} }},,,,,,4th [[Prime Minister of Uzbekistan]],Deputy Prime Minister of Uzbekistan,,,,,[[Uzbekistan Liberal Democratic Party|Liberal Democratic Party]],,,,,,,,[[Shavkat Mirziyoyev]],[[Ergash Shoismatov]],,,[[Shavkat Mirziyoyev]],,,[[Shavkat Mirziyoyev]],[[O‘tkir Sultonov]]<br>[[Shavkat Mirziyoyev]],,,,,,,,,,,,,,,,,,,,,,,Achilbay Ramatov,[[Ergash Shoismatov]],,,,14 December 2016,August 2012,,14 December 2016,12 September 2016,30 May 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,{{Birth date and age|1954|02|03|df=yes}},,"[[Tashkent]], [[Soviet Union]]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sodiq Safoyev (cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sodiq Safoyev,,,,,,,,,,,,,,,,,,,,,,,{{nobold|Содиқ Сафоев}} }},uz,,,,,,,,,,,,,,,,,,,[[Abdulaziz Komilov]],,,,[[Islam Karimov]],,,,,,,,,,,,,,,,,,,,,,,,,,[[Elyor Ganiyev]],,,,,4 February 2005,,,,14 March 2003<ref name=Fergana>{{cite web| url=http://www.ferghana.ru/article.php?id=1480 |title=В Узбекистане - новый министр иностранных дел |trans-title=Uzbekistan gets a new Minister of Foreign Affairs |access-date=2010-10-01}}</ref>,,,,[[Minister of Foreign Affairs of Uzbekistan|Minister of Foreign Affairs]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Deputy,Ochilboy Ramatov,,[[Tashkent University of Information Technologies]],,[[Rustam Azimov]],"[[Rustam Azimov]], Achilbay Ramatov, Zoyir Mirzaev, Gulomjon Ibragimov",,,"{{Orden ""Mehnat Shuhrati""}}",,,,{{birth date and age|1961|5|24|df=y}},,"[[Tashkent]], [[Uzbek SSR]], [[Soviet Union]]",,,,,,,,,,,,,,,,,,,,,Aripov in 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Minnikhanov on Vladimir Putin's state visit to Uzbekistan (2024-05-27) 11 (cropped) (cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abdulla Aripov,,,,,,,,,,,[[Uzbekistan]]i,,,,,,,,,,,,{{nobold|Абдулла Орипов}} }},,,,,,4th [[Prime Minister of Uzbekistan]],Deputy Prime Minister of Uzbekistan,,,,,[[Uzbekistan Liberal Democratic Party|Liberal Democratic Party]],,,,,,,,[[Shavkat Mirziyoyev]],[[Ergash Shoismatov]],,,[[Shavkat Mirziyoyev]],,,[[Shavkat Mirziyoyev]],[[O‘tkir Sultonov]]<br>[[Shavkat Mirziyoyev]],,,,,,,,,,,,,,,,,,,,,,,Achilbay Ramatov,[[Ergash Shoismatov]],,,,14 December 2016,August 2012,,14 December 2016,12 September 2016,30 May 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"[[Abdulla Aripov]], Achilbay Ramatov, Zoyir Mirzaev and Gulomjon Ibragimov",,,,,,,,,{{nowrap|{{birth date and age|1958|9|20}}}},Rustam Sadykovich Asimov,"[[Tashkent]], [[Soviet Union]]<br>{{small|(now [[Uzbekistan]])}}",,,,,,,,,,,,,,,,,,,,,,[[Islom Azimov]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rustam Azimov 20150127.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rustam Azimov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy Prime Minister of Uzbekistan,[[Ministry of Finance (Uzbekistan)|Minister of Finance]],,,,,}},,,,,,,,[[Bright Fayzullayev]],[[Saidahmad Rahimov]],[[Baxtiyor Hamidov]],,,,[[Shavkat Mirziyoyev]]<br>[[Abdulla Aripov]],[[Shavkat Mirziyoyev]],[[Oʻtkir Sultonov]],,,,,,,,,,,,,,,,,,,,,,[[Jamshed Kuchkarev]],[[Botir Xoʻjayev]],[[Mamarizo Nurmurodov]],,,6 June 2017,15 December 2016,8 November 2000,,4 February 2005,22 November 2005,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,[[Tashkent Institute of Irrigation and Melioration]],,,,,,,,,,{{birth date and age|1957|7|24|df=y}},,"[[Zomin District]], Uzbek SSR, Soviet Union<br>(present-day [[Uzbekistan]])",,,,,,,,,,,,,,,,,,,,,"Official portrait, 2018","3, including [[Saida Mirziyoyeva|Saida]]",,,,,,,,,,,,,,,,,,,,,,,,,,{{ubl|Abdulla Aripov|[[Ergash Shoismatov]]|Abdulla Aripov}},,,,,,,,,,,,,,,,,,,,,,,,,[[Excellency|His Excellency]],,Shavkat Mirziyoyev official portrait (cropped 2).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shavkat Mirziyoyev,,,,,,,,,,,,,,,,,,,,,,,{{nobold|Шавкат Мирзиёев}},uz,,,,,2nd [[President of Uzbekistan]],3rd [[Prime Minister of Uzbekistan]],Chairman of the [[Organization of Turkic States]],,,{{ubl|[[Communist Party of the Soviet Union]]|[[Self-Sacrifice National Democratic Party]] (until 2008)|[[Uzbekistan National Revival Democratic Party|National Revival Democratic Party]] (2008–2016)}},[[Uzbekistan Liberal Democratic Party|Liberal Democratic Party]] (2016–present),,,,,,,,{{ubl|[[Islam Karimov]]|[[Nigmatilla Yuldashev]] (Acting)}},[[Oʻtkir Sultonov]],,[[Recep Tayyip Erdoğan]],,{{ubl|Islam Karimov|Nigmatilla Yuldashev (Acting)|Himself (Acting)}},Himself<br />[[Abdulla Aripov]],,,,,,,,,,,"[[Qibray District]], [[Tashkent]]",,,,,[[Ziroat Mirziyoyeva]],,,,,,,,,Abdulla Aripov,,,,,14 December 2016,,,14 December 2016<br />Acting: 8 September 2016 – 14 December 2016,12 December 2003,,11 November 2022,,,,,,,https://president.uz/en }},,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"[[Abdulla Aripov]], Achilbay Ramatov, Zoyir Mirzaev and Gulomjon Ibragimov",,,,,,,,,{{nowrap|{{birth date and age|1958|9|20}}}},Rustam Sadykovich Asimov,"[[Tashkent]], [[Soviet Union]]<br>{{small|(now [[Uzbekistan]])}}",,,,,,,,,,,,,,,,,,,,,,[[Islom Azimov]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rustam Azimov 20150127.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rustam Azimov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy Prime Minister of Uzbekistan,[[Ministry of Finance (Uzbekistan)|Minister of Finance]],,,,,}},,,,,,,,[[Bright Fayzullayev]],[[Saidahmad Rahimov]],[[Baxtiyor Hamidov]],,,,[[Shavkat Mirziyoyev]]<br>[[Abdulla Aripov]],[[Shavkat Mirziyoyev]],[[Oʻtkir Sultonov]],,,,,,,,,,,,,,,,,,,,,,[[Jamshed Kuchkarev]],[[Botir Xoʻjayev]],[[Mamarizo Nurmurodov]],,,6 June 2017,15 December 2016,8 November 2000,,4 February 2005,22 November 2005,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
