1blankname,1namedata,academic_advisors,agent,alias,allegiance,alma mater,alma_mater,alongside,alongside1,alt,appointer1,appointer2,associated_acts,attributes,author_abbrev_bot,author_abbrev_zoo,awards,background,baptised,beatified_by,beatified_date,beatified_place,birth_date,birth_name,birth_place,birthname,branch,burial,burial_date,burial_place,canonized_by,canonized_date,canonized_place,caption,child,children,church,citizenship,consort,constituency12,constituency13,constituency14,constituency15,cor-type,cor-type1,coregency,coronation,coronation1,current_member_of,death_cause,death_date,death_place,denomination,deputy,disappeared_date,disappeared_place,disappeared_status,discipline,discography,doctoral_advisor,doctoral_students,dynasty,education,embed,embed_title,employer,era,family,father,feast_day,field,fields,flourished,footnotes,full name,genre,genres,governor4,honorific-prefix,honorific-suffix,honorific_prefix,honorific_suffix,honours,horus,house,image,image_alt,image_size,image_upright,imagesize,influenced,influences,institute,instrument,issue,issue-link,issue-pipe,issues,known_for,label,landscape,language,last,list_of_works,main_interests,major_shrine,mi,module,module2,monarch,monarch1,monuments,moretext,mother,movement,name,nationality,native_name,native_name_lang,nickname,nocat_wdimage,nomen,notable_family,notable_ideas,notable_students,notable_works,notableworks,occupation,occupations,office,office1,office10,office11,office12,office15,office2,office3,office4,office5,office6,office7,office8,ordained,order,order1,order2,order3,order4,order8,organisation,organizations,origin,other_names,p,parents,partner,party,past_member_of,patronage,patrons,period,posthumous_name,predecessor,predecessor1,predecessor10,predecessor11,predecessor12,predecessor13,predecessor14,predecessor2,predecessor3,predecessor4,predecessor5,predecessor6,predecessor7,predecessor8,predecessor9,president,president1,president3,primeminister1,primeminister2,primeminister3,primeminister4,primeminister5,primeminister6,primeminister7,primeminister8,primeminister9,prizes,pseudonym,rank,region,regnal name,reign,reign-type1,reign1,relations,relatives,religion,residence,resting place,resting_place,resting_place_coordinates,restingplace,role,s,school_tradition,serviceyears,signature,signature_alt,signature_size,significant_advance,significant_design,significant_projects,spouse,spouses,style,subject,subjects,suboffice3,subterm3,succession,succession1,successor,successor1,successor10,successor11,successor12,successor13,successor14,successor2,successor3,successor4,successor5,successor6,successor7,successor8,successor9,t,term10,term11,term12,term13,term14,term15,term_end,term_end1,term_end11,term_end12,term_end2,term_end3,term_end4,term_end5,term_end6,term_end7,term_end8,term_end9,term_label3,term_label4,term_start,term_start1,term_start11,term_start12,term_start2,term_start3,term_start4,term_start5,term_start6,term_start7,term_start8,term_start9,thesis_title,thesis_url,thesis_year,title,titles,training,venerated_in,vicepresident,vicepresident1,w,website,work_institutions,workplaces,works,years_active,yearsactive
,,{{ubl |[[László Rátz]] |[[Gábor Szegő]] |[[Michael Fekete]] |[[József Kürschák]]{{sfn|Dyson|2012|p=48}} |[[David Hilbert]] |[[Erhard Schmidt]]<ref>{{cite book |author-last1=Israel |author-first1=Giorgio |author-link1=:it:Giorgio Israel |author-last2=Gasca |author-first2=Ana Millan |title=The World as a Mathematical Game: John von Neumann and Twentieth Century Science |series=Science Networks. Historical Studies |publisher=Birkhäuser |location=Basel |year=2009 |volume=38 |doi=10.1007/978-3-7643-9896-5 |isbn=978-3-7643-9896-5 |oclc=318641638 |url=https://link.springer.com/book/10.1007/978-3-7643-9896-5 |page=14}}</ref> |[[Hermann Weyl]] |[[George Pólya]]{{sfn|Goldstine|1980|p=169}}}},,,,,{{ubl|[[Eötvös Loránd University|Pázmány Péter University]]|[[Humboldt University of Berlin|University of Berlin]]|[[ETH Zurich|ETH Zürich]]}},,,,,,,,,,,,,,,,{{birth date|mf=yes|1903|12|28}},Neumann János Lajos,"[[Budapest]], Kingdom of Hungary, Austria-Hungary",,,,,,,,,von Neumann in the 1940s,,,,{{ubl|Hungary|United States}},,,,,,,,,,,,,{{death date and age|mf=yes|1957|2|8|1903|12|28}},"[[Washington, D.C.]], U.S.",,,,,,,,{{ubl |[[Lipót Fejér]]}},"{{ubl|[[Donald B. Gillies]]|[[Israel Halperin]]{{#tag:ref|While Israel Halperin's thesis advisor is often listed as [[Salomon Bochner]], this may be because ""Professors at the university direct doctoral theses but those at the Institute do not. Unaware of this, in 1934 I asked von Neumann if he would direct my doctoral thesis. He replied Yes.""<ref name=halperin1990>{{harvc |last1=Halperin |first1=Israel |author-link=Israel Halperin |year=1990 |chapter=The Extraordinary Inspiration of John von Neumann |in1=Glimm |in2=Impagliazzo |in3=Singer |page=16}}</ref>}}|[[Friederich Ignaz Mautner|Friederich Mautner]]<ref name=genealogy>{{MathGenealogy |id=53213}}. Retrieved 2015-03-17.</ref>",,,yes,,,,,,,,"[[Logic]], [[mathematics]], [[mathematical physics]], [[theoretical physics]], [[statistics]], [[economics]], [[computer science]], [[Mathematical and theoretical biology|theoretical biology]], [[chemistry]], [[computing]]",,,,,,,,,,,,,,JohnvonNeumann-LosAlamos.gif,,,,,,,,,,,,,,,,,,,,,,{{Infobox scientist,,,,,,,,John von Neumann,,,,,,,,,,,,,,Member of the<br/>[[United States Atomic Energy Commission]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Eugene M. Zuckert]],,,,,,,,,,,,,,,[[Dwight D. Eisenhower]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[John Stephens Graham|John S. Graham]],,,,,,,,,,,,,,,,,,,,,,"February 8, 1957",,,,,,,,,,,,,,"March 15, 1955",,,,,,,,,,,,Az általános halmazelmélet axiomatikus felépítése (The axiomatic construction of general set theory),,1925,,,,,,,,,,{{ubl|[[University of Göttingen]]|[[Humboldt University of Berlin|University of Berlin]]|[[University of Hamburg]]|[[Princeton University]]|[[Institute for Advanced Study]]|[[Los Alamos Laboratory]]|[[National Defense Research Committee]]|[[United States Department of Defense]]|[[United States Atomic Energy Commission]]}},,,
,,,,,,,,,,,,,,,,,,,,,,,{{birth date|1820|5|12|df=y}},,"[[Florence]], [[Grand Duchy of Tuscany]]",,,,,,,,,"Nightingale, {{c.|1860}}",,,,,,,,,,,,,,,,,{{death date and age|1910|8|13|1820|5|12|df=y}},"[[Mayfair]], London, England",,,,,,,,,{{plainlist|*[[Linda Richards]],,,,,,,,,,,,,,,,,,,,,{{post-nominals|country=GBR|size=100%|OM|RRC|DStJg}},,,,Florence Nightingale (H Hering NPG x82368).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florence Nightingale,British,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{ubl|Miss Smith<ref>{{Cite book |last=Cook |first=Edward Tyas |url=http://archive.org/details/lifeofflorenceni01cookuoft |title=The life of Florence Nightingale |date=1913 |publisher=London Macmillan |others=Robarts - University of Toronto |pages=303 |url-access=registration |via=[[Internet Archive]]}}</ref>|The [[Lady with the Lamp]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St Margaret's Church, [[East Wellow]], Hampshire",{{coord|50|58|55|N|1|34|11|W|display=inline}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Portrait of a woman in bonnet and long dress holding rock hammer, pointing at fossil next to a spaniel lying on ground.",,,,,,,,,,,,,{{birth date|1799|05|21|df=yes}},,"[[Lyme Regis]], Dorset, England",,,,,,,,,"Anning with her dog, Tray, painted before 1842; the hill [[Golden Cap]] can be seen in the background",,,,,,,,,,,,,,,,,{{death date and age|1847|03|09|1799|05|21|df=yes}},Lyme Regis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mary Anning painting.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mary Anning,,,,,,,,,,,,{{hlist|[[Fossil collector]]|[[palaeontologist]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{nowrap|St Michael's Church, Lyme Regis}}",{{coord|50|43|33|N|2|55|53|W|display=inline}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Empress Catherine II,,,,,,,,,,,,,{{Birth date|df=y|1729|05|02}},Princess Sophia Augusta Frederica of Anhalt-Zerbst,"[[Stettin]], Prussia",,,,,"[[Saints Peter and Paul Cathedral, Saint Petersburg]]",,,,Catherine in the 1780s,,,,,,,,,,Russia,,,22 September 1762,,,,{{Death date and age|df=y|1796|11|17|1729|05|02}},"[[Winter Palace]], Saint Petersburg, Russia",,,,,,,,,,,,,,,,,"[[Christian August, Prince of Anhalt-Zerbst]]",,,,,,{{ubl|{{langx|de|Sophia Augusta Frederica/Sophie Auguste Friederike|italic=unset}}|{{langx|ru|Екатерина Алексеевна Романова|translit=Yekaterina Alekseyevna Romanova}}|{{langx|en|Catherine Alexeievna Romanova|link=yes}}}},,,,,,,,,,{{plainlist|,"Catherine II after Roslin, Rokotov (1780s, Kunsthistorisches Museum) (cropped)(2).jpg",,,,,,,,,{{plainlist|,#Issue,among others...,,,,,,,,,,,,,,,,,[[Joanna Elisabeth of Holstein-Gottorp]],,Catherine the Great,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Peter III of Russia|Peter III]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Catherine II,"{{nowrap|9 July 1762 – 17 November 1796}} <br /> (34 years, 4 months, 8 days)",Tenure,5 January 1762 – 9 July 1762,,,,,,,,,,,,,Catherine The Great Signature.svg,,,,,,{{marriage|[[Peter III of Russia]]|21 August 1745|17 July 1762|end=died}},,,,,,,[[Empress of Russia]],[[List of Russian royal consorts#House of Holstein-Gottorp-Romanov (1762–1917)|Empress consort of Russia]],[[Paul I of Russia|Paul I]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Early 69&nbsp;BC or late 70&nbsp;BC,,"[[Alexandria]], Ptolemaic Kingdom",,,[[Tomb of Antony and Cleopatra|Unlocated tomb]]<br />(probably in Egypt),,,,,,"The Berlin Cleopatra, a [[Roman sculpture]] of Cleopatra wearing a royal [[diadem]], mid-1st century&nbsp;BC, now in the [[Altes Museum]], Germany{{sfnp|Raia|Sebesta|2017}}{{sfnp|Sabino|Gross-Diaz|2016|}}{{sfnp|Grout|2017b|}}<ref group=""note"">The sculpture was made around the time of Cleopatra's visits to Rome in 46–44 BC and was discovered in an Italian villa along the [[Via Appia]]. For further validation about the [[commons:Category:Bust of Cleopatra VII in the Altes Museum Berlin|Berlin Cleopatra]], see {{harvtxt|Pina Polo|2013|pp=184–186}}, {{harvtxt|Roller|2010|pp=54, 174–175}}, {{harvtxt|Jones|2006|p=33}}, and {{harvtxt|Hölbl|2001|p=234}}.</ref>",,{{unbulleted list|[[Caesarion]]|[[Alexander Helios]]|[[Cleopatra Selene II]]|[[Ptolemy Philadelphus (son of Cleopatra)|Ptolemy Philadelphus]]}},,,,,,,,,,{{Collapsible list|title=''See list''|,,,,,"10 or 12 August 30&nbsp;BC (aged&nbsp;39)<ref group=""note"" name=""date of Cleopatra's death"">Cleopatra almost certainly died on the 17th day of the Egyptian month [[Mesore]], which corresponds to 10 August in the older [[Roman calendar]], and 12 August in the [[Julian calendar]]. See {{harvtxt|Skeat|1953|pp=98–100}}.</ref>","Alexandria, Ptolemaic Kingdom",,,,,,,,,,[[Ptolemaic dynasty]],,,,,,,[[Ptolemy XII Auletes]],,,,,,,,,,,,,,,"''Wr(.t)-nb(.t)-nfrw-ꜣḫ(t)-sḥ'' <br /> '''Wer(et)-neb(et)-neferu-achet-seh''' <br /> The great Lady of perfection, excellent in counsel {{Infobox pharaoh/Serekh |Horus=<hiero>wr:r-nb-nfr-nfr-nfr-H2:x-O22</hiero>}} <br /> ''Wr.t-twt-n-jt=s'' <br /> '''Weret-tut-en-it-es''' <br /> The great one, sacred image of her father <br /> {{Infobox pharaoh/Serekh |Horus=<hiero>wr*t:r-t:W:t-A53-n:X2*t:z</hiero>}}",,Kleopatra-VII.-Altes-Museum-Berlin1.jpg,Photograph of an ancient Roman marble sculpture of Cleopatra VII's head as displayed at the Altes Museum in Berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,"Presumably [[Cleopatra V Tryphaena]]<ref group=""note"" name=""cleopatra v or vi"" />",,Cleopatra,,,,,,''Qlwjwꜣpꜣdrtꜣ'' <br/> '''Cleopatra''' <br/> {{Infobox pharaoh/Nomen|Nomen=<hiero>q:rw-i-wA-p-A-d:r-t-A-H8</hiero>}} <br /> epithet to nomen: <br /> ''Qlwpdrt nṯrt mr(t) jts'' <br /> '''Cleopatra netjeret mer(et) ites''' <br /> The goddess Cleopatra who is beloved of her father <br /> {{Infobox pharaoh/Nomen|Nomen=<hiero>q:rw-W:p-d:r:t*H8-nTr-t:H8-R7:t-z:N36</hiero>}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Ptolemy XII Auletes]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51–30 BC (21&nbsp;years){{sfnp|Burstein|2004|pp=xx–xxiii, 155}}",,,,,,,,,,,[[Basileus|Queen]] of the [[Ptolemaic Kingdom]],,,,,,,,,,,{{unbulleted list|[[Ptolemy XIII Theos Philopator]]|[[Ptolemy XIV]]|[[Mark Antony]]}},,,,,,,,[[Caesarion|Ptolemy XV Caesarion]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Victoria wearing a lace cap and diamond jewellery,,,,,,,,,,,,,{{Birth date|1819|05|24|df=y}},Princess Alexandrina Victoria of Kent,"[[Kensington Palace]], London, England",,,,4 February 1901,"[[Royal Mausoleum, Frogmore]], Windsor",,,,"Portrait by [[Alexander Bassano]], 1882",,,,,,,,,,[[Coronation of Queen Victoria|Coronation]],{{Nowrap|[[Delhi Durbar#Durbar of 1877|Imperial Durbar]]}},,28 June 1838,1 January 1877,,,{{Death date and age|1901|01|22|1819|05|24|df=yes}},"[[Osborne House]], [[Isle of Wight]], England",,,,,,,,,,,,,,,,,"[[Prince Edward, Duke of Kent and Strathearn]]",,,,,,,,,,,,,,,,[[House of Hanover|Hanover]],Queen Victoria by Bassano.jpg,,,,,,,,,{{Indented plainlist|,,,,,,,,,,,,,,,,,,,[[Princess Victoria of Saxe-Coburg-Saalfeld]],,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[William IV]],''Position established'',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 June 1837 – {{awrap|22 January 1901}},,1 May 1876 – {{awrap|22 January 1901}},,,"[[Protestantism in the United Kingdom|Protestant]]{{Efn|As monarch, Victoria was [[Supreme Governor of the Church of England]]. She was also aligned with the [[Church of Scotland]].|group=fn}}",,,,,,,,,,Queen Victoria Signature.svg,Cursive signature of Queen Victoria,,,,,{{Marriage|[[Prince Albert of Saxe-Coburg and Gotha]]|10 February 1840|14 December 1861|reason=died}},,,,,,,[[Queen of the United Kingdom]],[[Empress of India]],[[Edward VII]],Edward VII,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"An image of a woman dressed in silver armor, holding a sword and a banner.",,,,,,,,,,[[Pope Pius&nbsp;X]],18 April 1909,,{{circa|1412}},<!--Jeanne d'Arc (modern French)-->,"[[Domrémy-la-Pucelle|Domrémy]], Duchy of Bar, Kingdom of France",,,,,,[[Pope Benedict&nbsp;XV]],16 May 1920,,"[[Historiated initial]] depicting Joan of Arc (late 19th-century [[art forgery]], in the style of a 15th-century [[Miniature (illuminated manuscript)|miniature]]){{efn|This historiated initial from the [[Archives Nationales (France)|Archives Nationales]] has been dated to the second half of the {{nobr|15th century}}, but it is now regarded as an [[art forgery]],<ref>{{cite book|language=fr|title=1429 – Jeanne d'Arc, le premier portrait|location=Paris|publisher=Archives Nationales|year=2025|page=17|url=https://s3.fr-par.scw.cloud/an-p0-bucket/an-public/files/D%C3%A9couvrir/Publications/livret/pdf/livret_JDARC_FR.pdf?VersionId=1743503179286599|url-status=live}}</ref><ref>{{cite journal|language=fr|last=Meunier|first=Huguette|date=April 2025|title=La vraie Jeanne !|journal=[[L'Histoire]]|issue=530|page=92|url=https://shs.cairn.info/magazine-hist-histoire-2025-4-page-92|url-status=live}}</ref>{{sfn|Contamine|2007|p=[https://journals.ub.uni-heidelberg.de/index.php/fr/article/view/45032 199]|ps=: Cette miniature du XV{{sup|e}} siècle, très soignée (l'étendard correspond exactement à la description que Jeanne d'Arc elle-même en donnera lors de son procès){{nbsp}}... Mais c'est précisément cette exactitude, et cette coïncidence, trop belle pour être vraie, qui éveillent—ou plutôt auraient dû éveiller—les soupçons{{nbsp}}... [This miniature from the 15th century, very neat (the banner corresponds exactly to the description that Joan of Arc herself will give during her trial){{nbsp}}... But it is precisely this exactitude, and this coincidence, too good to be true, which arouses—or rather should have aroused—suspicion{{nbsp}}...]}} most likely produced at the turn of the 19th and {{nobr|20th centuries}} by an anonymous artist, possibly the ""[[Spanish Forger]]""<ref>{{cite journal|language=fr|last=Girault|first=Pierre-Gilles|year=2021|title=Faux et faussaires: autour du prétendu ""Spanish Forger""|journal={{interlanguage link|Histoire et civilisation du livre|fr}}|issue=17|page=289-302|url=https://revues.droz.org/HCL/article/view/HCL_17_289-302/html|url-status=live}}</ref> or the [[Alsace|Alsatian]] painter and collector {{interlanguage link|Georges Spetz|fr}}, who held it in his collection together with two other strikingly similar miniatures.<ref>Bouzy, Olivier (April 2019). ""Remarques sur la tapisserie d'Azeglio"" (in French). Orléans: Centre Jeanne d'Arc.</ref>}}",,,,,,,,,,,,,,,,,30 May 1431 (aged {{Approx.|19}}),"[[Rouen]], Anglo-French Kingdom",,,,,,,,,,,,,,,,,,30 May,,,,,,,,,[[Saint]],,,,,,,Joan of Arc miniature graded.jpg,,,,,,,,,,,,,,,,,,,,,,{{Infobox person|embed=yes,,,,,,,,Joan of Arc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jeanne d'Arc signature 16 mars 1430.svg,,100px}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Virgin (title)|Virgin]],,{{ubl|[[Catholic Church]]|[[Anglican Communion]]{{sfn|The Calendar|2021}}}},,,,,,,,,
,,,,,,,,,,"Full-length portrait of Queen Elizabeth in her early 40s. She has red hair, fair skin, and wears a crown and a pearl necklace.",,,,,,,,,,,,,7 September 1533,,"[[Palace of Placentia]], Greenwich, England",,,,28 April 1603,[[Westminster Abbey]],,,,"The ''[[Portraiture of Elizabeth I#The Darnley Portrait|Darnley Portrait]]'', {{Circa|1575}}",,,,,,,,,,[[Coronation of Elizabeth I|Coronation]],,,15 January 1559,,,,24 March 1603 (aged 69),"[[Richmond Palace]], Surrey, England",,,,,,,,,,,,,,,,,[[Henry VIII of England]],,,,,,,,,,,,,,,,[[House of Tudor|Tudor]],Darnley stage 3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,([[Style of the English sovereigns|more...]]),[[Anne Boleyn]],,Elizabeth I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[[Mary I]] and [[Philip II of Spain|Philip]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17 November 1558{{sndash}}<br/>24 March 1603,,,,,[[Anglicanism]],,,,,,,,,,Autograph of Elizabeth I of England.svg,,,,,,,,,,,,,[[List of English monarchs|Queen of England]] and [[List of Irish monarchs|Ireland]],,[[James VI and I|James I]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{birth date|df=yes|1755|11|2}},Archduchess Maria Antonia of Austria,"[[Hofburg]], Vienna, Austria",,,,21 January 1815,[[Basilica of Saint-Denis]],,,,"Portrait, {{circa|1775}}",,,,,yes,,,,,,,,,,,Execution by [[guillotine]],{{death date and age|df=yes|1793|10|16|1755|11|2}},"[[Place de la Révolution]], Paris, France",,,,,,,,,,,,,,,,,"[[Francis I, Holy Roman Emperor]]",,,,,,{{Unbulleted list|{{langx|de|link=no|Maria Antonia Josefa Johanna}}|{{langx|fr|link=no|Marie Antoinette Josèphe Jeanne}}}},,,,,,,,,,[[Habsburg-Lorraine]],"Marie-Antoinette, 1775 - Musée Antoine Lécuyer.jpg",,,,,,,,,{{plainlist|,,,,,,,,,,,,,,,,,,,[[Maria Theresa]],,Marie Antoinette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 May 1774 – 21 September 1792,,,,,[[Roman Catholicism]],,,,,,,,,,Marie-AntoinetteSignature.png,,,,,,{{Marriage|[[Louis XVI]]|19 April 1770|21 January 1793|end=d}},,,,,,,[[Queen consort of France]],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,{{Birth date|1908|1|9|df=yes}},Simone Lucie Ernestine Marie Bertrand de Beauvoir,"Paris, France",,,,,,,,,Beauvoir in 1967,,,,,,,,,,,,,,,,,{{Death date and age|1986|4|14|1908|1|9|df=yes}},"Paris, France",,,,,,,,,,,{{plainlist|,,,,,,,,,,,,,,,,,,,,,,,Simone De Beauvoir (cropped).jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simone de Beauvoir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[Montparnasse Cemetery]], Paris",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,[[King's College London]],,,Photograph of Virginia Woolf in 1902; photograph by George Charles Beresford,,,,,,,,,,,,,{{birth date|df=y|1882|1|25}},Adeline Virginia Stephen,"[[South Kensington]], London, England",,,,,,,,,Woolf in 1902,,,,,,,,,,,,,,,,,{{death date and age|df=y|1941|3|28|1882|1|25}},"[[River Ouse, Sussex|River Ouse]], East Sussex, England",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,George Charles Beresford - Virginia Woolf in 1902 - Restoration.jpg,,,,,,,,,,,,,,,,,,,,,,{{Listen| embed=yes |filename = On Craftsmanship - the only surviving recording of Virginia Woolf.flac |title = Woolf's voice |type = speech |description   =[[BBC Radio]] broadcast 29 April 1937{{sfn|Woolf|1937}}}},,,,,,,,Virginia Woolf,,,,,,,,,,,{{plainlist|,{{hlist|Novelist|essayist|publisher|critic}},,,,,,,,,,,,,,,,,,,,,,,,,,,{{ubl|[[Leslie Stephen]]|[[Julia Stephen|Julia Prinsep Jackson]]}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist|,,,,,,,,,,,Virginia Woolf signature.svg,,,,,,{{marriage|[[Leonard Woolf]]|10 August 1912}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Magdalena Carmen Frida Kahlo y Calderón,"[[Coyoacán]], Mexico",,,,,,,,,Kahlo in 1932,,,,,,,,,,,,,,,,,{{Death date and age|df=yes|1954|7|13|1907|7|6}},"Mexico City, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frida Kahlo, by Guillermo Kahlo.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{hlist|[[Surrealism]]|[[Magic realism]]|[[Naïve art|Naïve]]}},Frida Kahlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Magdalena Carmen Frieda Kahlo y Calderón, Frieda Kahlo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{plainlist|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,[[National Medal of Arts]] (1985)<br />[[Presidential Medal of Freedom]] (1977)<br />[[Edward MacDowell Medal]] (1972),,,,,,{{birth date|1887|11|15|mf=y}},Georgia Totto O'Keeffe,"[[Sun Prairie (town), Wisconsin|Sun Prairie, Wisconsin]], U.S.",,,,,,,,,"O'Keeffe in 1932, photograph by [[Alfred Stieglitz]]",,,,,,,,,,,,,,,,,{{death date and age|1986|3|6|1887|11|15|mf=y}},"[[Santa Fe, New Mexico]], U.S.",,,,,,,,,,,"[[School of the Art Institute of Chicago]]<br />[[Columbia College (South Carolina)|Columbia College]]<br />[[Teachers College, Columbia University]]<br />[[University of Virginia]]<br />[[Art Students League of New York]]",,,,,[[Ida O'Keeffe]] (sister),,,"Visual arts: painting, sculpture, photography",,,,,,,,,,,,,,,Georgia O'Keeffe MET DP230868.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[[American modernism]], [[Precisionism]]",Georgia O'Keeffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{marriage|[[Alfred Stieglitz]]|1924|July 13, 1946|end=his death}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{unbulleted list,,
,,,,,,,,,,,,,,,,,,,,,,,{{birth date|1897|07|24}},Amelia Mary Earhart,"[[Atchison, Kansas]], U.S.",,,,,,,,,"Earhart beneath the nose of her [[Lockheed Model 10-E Electra]], March 1937 in [[Oakland, California]], before departing on her final round-the-world attempt prior to her disappearance",,,,,,,,,,,,,,,,,,,,,{{Disappeared date and age|1937|7|2|1897|7|24}},"[[Pacific Ocean]], en route to [[Howland Island]] from [[Lae]], [[Territory of New Guinea|New Guinea]]",[[Presumption of death|Declared dead ''in absentia'']]{{sfn|Van Pelt|2005|p=205}}<br />{{Death date|1939|1|5|1897|07|24}},,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Amelia Earhart standing under nose of her Lockheed Model 10-E Electra, small (cropped).jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amelia Earhart,,,,,,,,,,,,{{flatlist|,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
