alma_mater,alt,awards,birth_date,birth_name,birth_place,birthname,caption,children,citizenship,creed,death_cause,death_date,death_place,denomination,education,embed,era,ethnicity,expand_influenced,expand_influences,father,field,fields,footnotes,genre,honorific_prefix,honorific_suffix,image,image_size,image_upright,influenced,influences,ism,ism-ar,jurisprudence,known_for,kunya,kunya-ar,language,laqab,laqab-ar,lineage,maddhab,main_interests,major_works,module,module1,monuments,mother,movement,name,nasab,nasab-ar,nationality,native_name,native_name_lang,nisba,nisba-ar,nisbah,nisbah-ar,notable_ideas,notable_students,notable_works,notableworks,occupation,other names,other_names,partner,period,portaldisp,pronunciation,pseudonym,region,relatives,religion,residence,resting_place,school,school_tradition,signature,signature_alt,spouse,students,subject,teachers,title,website,workplaces,works,years_active
,Chest-length metal statue of bearded man in robes and turban holding a book and a cubic model.,,{{circa|780}},,,,"Statue in [[Madrid]], erected in 2020<ref>{{Cite news |date=November 26, 2020 |title=Monument to Muhammad al-Khwarizmi erected in Madrid |url=https://uza.uz/en/posts/monument-to-muhammad-al-khwarizmi-erected-in-madrid_189785 |url-status=live |archive-url=https://web.archive.org/web/20201126104717/https://uza.uz/en/posts/monument-to-muhammad-al-khwarizmi-erected-in-madrid_189785 |archive-date=November 26, 2020 |access-date=March 16, 2025 |work=[[Uzbekistan National News Agency]]}}</ref>",,,,,"{{circa|850|lk=no}}<ref>{{cite book |last1=Toomer |first1=Gerald J. |author1-link=Gerald J. Toomer |editor1-last=Gillispie |editor1-first=Charles Coulston |title=Dictionary of Scientific Biography |date=1970–1980 |isbn=978-0-684-16966-8|volume=VII |pages=358–365 |chapter=al-Khuwārizmī, Abu Ja'far Muḥammad ibn Mūsā|publisher=Scribner }}</ref><ref>{{cite book |last1=Vernet |first1=Juan |editor1-last=Gibb |editor1-first=H. A. R. |editor2-last=Kramers |editor2-first=J. H. |editor3-last=Lévi-Provençal |editor3-first=E. |editor4-last=Schacht |editor4-first=J. |title=The Encyclopaedia of Islam |date=1960–2005 |publisher=Brill |location=Leiden|volume=IV |pages=1070–1071 |edition=2nd |chapter=Al-Khwārizmī|oclc=399624}}</ref>",,,,,[[Islamic Golden Age]],,,,,,,,,,,"Madrid - Ciudad Universitaria, Monumento a Muhammad al-Juarismi (cropped).jpg",,,"[[Abu Kamil]] of Egypt,<ref name=MacTutor-AK>O'Connor, John J.; Robertson, Edmund F., [http://www-history.mcs.st-andrews.ac.uk/Biographies/Abu_Kamil.html ""Abū Kāmil Shujā' ibn Aslam""] {{Webarchive|url=https://web.archive.org/web/20131211214159/http://www-history.mcs.st-andrews.ac.uk/Biographies/Abu_Kamil.html |date=11 December 2013 }}, MacTutor History of Mathematics archive, University of St Andrews.</ref> [[Nicolo Tartaglia]]",,,,,,,,,,,,,{{hlist|[[Mathematics in the medieval Islamic world|Mathematics]]|[[Astronomy in the medieval Islamic world|astronomy]]|[[Geography and cartography in the medieval Islamic world|geography]]}},{{ubl|''[[Al-Jabr]]'' (820)|''[[Zij as-Sindhind]]'' (820)|''[[Geography (Ptolemy)|Kitab Surat al-Ard]]'' (833)}},,,,,,Muḥammad ibn Mūsā al-Khwārizmī,,,,{{nobold|{{lang|ar|{{Script|Arab|محمد بن موسى الخوارزميّ}}|rtl=yes}}}},,,,,,Treatises on [[algebra]] and the [[Hindu–Arabic numeral system]],,,,[[House of Wisdom]] in [[Baghdad]] (appt.&nbsp;{{circa|820|lk=no}}) }},,,,,,,,,,,,,,,,,,,,,,,,,
,,,973,,"[[Kath (city)|Kath]], [[Afrighid dynasty|Khwarezm]] (modern-day [[Uzbekistan]])",,An imaginary rendition of Al Biruni on a 1973 Soviet postage stamp,,,,,{{c.|1050}} (aged 77),"[[Ghazni]], [[Ghaznavids|Ghaznavid Empire]] (modern-day [[Afghanistan]])",,,,[[Islamic Golden Age]],,,,,,,,,,,Biruni-russian.jpg,,,"[[Al-Sijzi]], [[Omar Khayyam]], [[Al-Khazini]], [[Zakariya al-Qazwini]] }}","[[Abū Ḥanīfa Dīnawarī]], [[Al-Sijzi]], [[Abu Nasr Mansur]], [[Al-Battani]]",,,,,,,,,,,,"Geology, [[physics]], [[anthropology]], [[comparative sociology]], [[astronomy]], [[chemistry]], history, [[geography]], mathematics, medicine, [[psychology]], [[Islamic philosophy|philosophy]], [[Islamic theology|theology]]",,,,,,,Abu Rayhan al-Biruni,,,,ابوریحان محمد بن احمد البیرونی,,,,,,,,"''[[The Remaining Signs of Past Centuries]]'', ''Gems'', ''[[Alberuni's India|Indica]]'', ''The Mas'udi Canon'', ''Understanding Astrology''",,,,,,,,,,"Khwarezm, Central Asia<br />[[Buyid dynasty]] ([[Rey, Iran|Rey]]){{sfn|Kennedy|1975|p=394}} [[Ghaznavids|Ghaznavid dynasty]] ([[Ghazni]]){{sfn|Ataman|2008|p=58}}",,,,,,,,,,,,,,,,,
,,,{{nowrap |{{birth-date|0965|{{circa}} 965}}  ({{c.|354 [[Islamic calendar|AH]]}})<ref name=Lorch>{{cite encyclopedia |last=Lorch |first=Richard |title=Ibn al-Haytham: Arab astronomer and mathematician |publisher=Encyclopedia Britannica |date=1 February 2017 |url=https://www.britannica.com/biography/Ibn-al-Haytham |access-date=14 January 2022 |archive-date=12 August 2018 |archive-url=https://web.archive.org/web/20180812045403/https://www.britannica.com/biography/Ibn-al-Haytham |url-status=live }}</ref>}},,"[[Basra]], [[Buyid Emirate]]",,,,,,,{{nowrap |{{death-date|1040|{{circa}} 1040}} ({{c.|430 AH}})<ref name=Lorch />}} (aged around 75),"[[Cairo]], [[Fatimid Caliphate]]",,,,,,,,,"[[Physics]], [[mathematics]], [[astronomy]]",,,,,,Ibn al-Haytham crop.jpg,,,,,,,,"''[[Book of Optics]]'', ''[[#Doubts Concerning Ptolemy|Doubts Concerning Ptolemy]]'', [[Alhazen's problem]], [[analysis]],<ref>{{Harvnb|O'Connor|Robertson|1999}}.</ref> [[Catoptrics]],<ref>{{Harvnb|El-Bizri|2010|p=11}}: ""Ibn al-Haytham's groundbreaking studies in optics, including his research in catoptrics and dioptrics (respectively the sciences investigating the principles and instruments pertaining to the reflection and refraction of light), were principally gathered in his monumental opus: Kitåb al-manåóir (The Optics; De Aspectibus or Perspectivae; composed between 1028 CE and 1038 CE).""</ref> [[horopter]], [[Spherical aberration]], [[intromission theory]] of [[visual perception]], [[moon illusion]], [[Experiment|experimental science]], [[scientific method]]ology,<ref>{{Harvnb|Rooney|2012|p=39}}: ""As a rigorous experimental physicist, he is sometimes credited with inventing the scientific method.""</ref> [[Comparative psychology|animal psychology]]<ref>{{Harvnb|Baker|2012|p=449}}: ""As shown earlier, Ibn al-Haytham was among the first scholars to experiment with animal psychology.</ref>",,,,,,,,,,,,,,,Alhazen<br />{{transliteration|ar|Ḥasan Ibn al-Haytham}},,,,{{lang|ar|ابن الهيثم}},,,,,,,,,,,,,,,,,,,,}},,,,,,,,,,,,,,,
,,,11th century,,[[Seljuk Empire]],,13th-century manuscript of al-Khāzinī's Kitab Mīzān al-Hikmah depicting the eponymous balances,,,,,12th century,,,,,[[Islamic Golden Age]],,,,,,"[[Astronomy]], [[mathematics]], [[physics]], [[mechanics]], [[metallurgy]]",,,,,University of Pennsylvania MS Lawrence J. Schoenberg Collection 386 fol. 80v al-Khazini's Balance.jpg,,,,,,,,,,,,,,,,,,,,,,,al-Khazini,,,,,,,,,,}},,,,Scientist,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"18 February 1201 <br />[[Tus, Iran|Tus]], [[Greater Khorasan|Khurasan]], [[Khwarazmian dynasty|Khwarazmid Empire]]",,,,Iranian stamp for the 700th anniversary of his death,,,,,"{{Death date and age|df=yes|1274|06|26|1201|02|18}} <br />[[Al-Kadhimiya Mosque]], [[Kadhimiya]], [[Baghdad]], [[Ilkhanate]]",,[[Shia]],,,,,,,,,,,,,,Nasir al-Din Tusi.jpg,,,"[[Maitham Al Bahrani]], [[ibn Khaldun]], [[Qutb al-Din Shirazi]], [[Ibn al-Shatir]], [[Copernicus]]","[[Avicenna]], [[Fakhr al-Din Razi]], [[Mo'ayyeduddin Urdi]], [[Siraj Qumri]]",,,[[Ja'fari]],,,,,,,,,"[[Kalam]], [[Early Islamic philosophy|Islamic Philosophy]], [[Islamic astronomy|Astronomy]], [[Islamic mathematics|Mathematics]], [[Islamic medicine|Biology and Medicine]], [[Islamic physics|Physics]], [[Islamic science|Science]]",,,,,,,Naṣīr al-Dīn al-Ṭūsī,,,,{{nobold|نصیرالدین طوسی}},fa }},,,,,"[[Spherical trigonometry]], [[Tusi couple]]",,,,,,,,,,,,[[Persia]] ([[Iran]]),,[[Islam]] <!-- Please note the background of Tusi is constantly vandalized by ips- that is why it is sourced more predominantly here-->| era                = [[Islamic Golden Age]],,,,"[[Ismai'ili]] (Initially)<br/>[[Twelver]]<ref>{{cite encyclopedia|first=John|last=Cooper|author-link=John Cooper (Islamic studies scholar)|year=1998|title=al-Tusi, Khwajah Nasir (1201-74)|encyclopedia=[[Routledge Encyclopedia of Philosophy|Encyclopedia of Philosophy]]|publisher=[[Routledge]]|url=https://www.muslimphilosophy.com/ip/rep/H036.htm}}</ref>",,,,"[[Shams al-Din al-Bukhari]]<ref name=""Shams"">{{MathGenealogy|id=204293|name=Shams al‐Dīn al‐Bukhārī}}</ref>",,[[Kamal al-Din ibn Yunus]]<ref name=MacT/>,Khawaja Nasir,,,"''[[Tajrid al-I'tiqad]]'', ''[[Zij-i ilkhani]]'', ''Rawḍa-yi Taslīm'', ''[[Akhlaq-i Nasiri]]'', ''al-Risalah al-Asturlabiyah'', ''Al-Tadhkirah fi 'Ilm al-Hay'ah'' (Memoir on the Science of Astronomy)",
,,,24 February 1304,,"[[Tangier]], [[Marinid sultanate]]",,1878 illustration by [[Léon Benett]] showing Ibn Battuta (center) and his guide (left) in Egypt,,,,,1369 (aged 64–65),"[[Marrakesh]], Marinid sultanate<ref>{{Cite web |first=Romy |last=Roynard |date=22 November 2018 |title=Sur les traces d'Ibn Battuta: le Maroc |url=https://www.nationalgeographic.fr/ibn-battuta/2018/11/sur-les-traces-dibn-battuta-le-maroc |access-date=7 December 2022 |website=National Geographic |language=fr |archive-date=7 December 2022 |archive-url=https://web.archive.org/web/20221207014923/https://www.nationalgeographic.fr/ibn-battuta/2018/11/sur-les-traces-dibn-battuta-le-maroc |url-status=live}}</ref>",,,,[[Post-classical history]],,,,,,,,,[[Shaykh]]<ref name=Norris59>{{Cite journal |last=Norris |first=H. T. |date=1959 |title=Ibn Baṭṭūṭah's Andalusian Journey |journal=The Geographical Journal |volume=125 |issue=2 |pages=185–196 |doi=10.2307/1790500 |jstor=1790500 |issn=0016-7398|url=https://www.jstor.org/stable/1790500|url-access=subscription }}</ref>,,"Handmade oil painting reproduction of Ibn Battuta in Egypt, a painting by Hippolyte Leon Benett..jpg",220,,,,Muḥammad,مُحَمَّد,,,ʾAbū ʿAbd Allāh,أبو عبد الله,,Shams al-Dīn,شمس الدين }},,,,,{{Infobox Arabic name|embed=yes,,,,,Ibn Battuta,ibn ʿAbd Allāh ibn Muḥammad ibn Ibrāhīm ibn Muḥammad ibn Yūsuf ibn Baṭṭūṭah,ابن عبد الله بن محمد بن إبراهيم بن محمد بن يوسف بن بطوطة,,ابن بطوطة,ar,,,al-Lawātiyy aṭ-Ṭanjiyy,اللواتي الطنجي,,,[[Rihla]],,"Traveller, [[Geographer]], [[explorer]], [[scholar]], [[judge]]",*The Islamic Marco Polo,,,,,,,,,,,,,,,,,,,,,,,,
,,,27 May 1332,,"[[Tunis]], [[Hafsid dynasty|Hafsid Sultanate]]",,"Bust of Ibn Khaldun in the entrance of the Kasbah of Bejaia, [[Algeria]]",,,"[[Ash'ari]]<ref>{{cite book |last=Doniger |first=Wendy |url = https://archive.org/details/isbn_9780877790440/page/82 |title=Merriam-Webster's Encyclopedia of World Religions |year=1999 |publisher=Merriam-Webstar Inc. |isbn=978-0-87779-044-0 |page=[https://archive.org/details/isbn_9780877790440/page/82 82] |url-access=registration }}</ref><ref name=""maydan"">https://themaydan.com/2017/11/myth-intellectual-decline-response-shaykh-hamza-yusuf/ ""'''Ibn Khaldun on Philosophy:'''  After clarifying what was meant precisely by philosophy in the Islamic tradition, namely the various schools of peripatetic philosophy represented either by Ibn Rushd or Ibn Sina, it should be clear why Ibn Khaldun was opposed to them. His critique of philosophy is an Ash’ari critique, completely in line with the Ash’aris before him, including Ghazali and Fakhr al-din al-Razi, both of whom Ibn Khaldun recommends for those who wish to learn how to refute the philosophers""</ref>",,{{death-date and age|17 March 1406|27 May 1332}},"[[Cairo]], [[Mamluk Sultanate (Cairo)|Mamluk Sultanate]]","[[Sunni]]<ref name=""MPhilosophy"">{{Cite web |title=Ibn Khaldun – His Life and Work |url=http://www.muslimphilosophy.com/ik/klf.htm#Intro |url-status=dead |archive-url=https://web.archive.org/web/20130913010235/http://www.muslimphilosophy.com/ik/klf.htm#Intro |archive-date=13 September 2013 |access-date=25 February 2017}}</ref>",,,,,,,,,,,,,,"Bust of Ibn Khaldun (Casbah of Bejaia, Algeria).jpg",,,{{flatlist}} * [[Ibn al-Khatib]] * [[Abu Yahya ibn al-Sakkak|Ibn al-Sakkak]] * [[Al-Maqrizi]] * [[Saad al-Din bin Ghurab|Ibn Ghurab]] * [[Ibn al-Azraq]] * [[Kâtip Çelebi|Çelebi]] * [[Mustafa Naima]] * [[Ahmed Cevdet Pasha|Ahmed Cevdet]] * [[Traditionalist School (perennialism)|20th-century traditionalism]] * [[Arnold J. Toynbee|Toynbee]] * [[Egon Orowan|Orowan]] * [[Mahdi Amel|Amel]] * [[Auguste Comte|Comte]] {{endflatlist}},"{{flatlist}} * [[Al-Farabi]]<ref>{{Cite book |url = https://books.google.com/books?id=8pmZ5FD_FBEC&pg=PA87 |title = Joseph A. Schumpeter: Historian of Economics: Perspectives on the History of Economic Thought |publisher=Routledge |year=1996 |isbn=978-1-134-78530-8 |editor-first = Laurence S. |editor-last = Moss |page=87 |quote = Ibn Khaldun drited away from Al-Farabi's political idealism.}}</ref> * [[Al-Ghazali]]<ref name=""maydan"" /> * [[Al-Jahiz]]<ref>Shah, Muhammad Sultan. ""Pre-Darwinian Muslim Scholars’ Views on Evolution."" (2017).</ref> * [[Fakhr al-din al-Razi|Al-Razi]]<ref name=""maydan"" /> * [[Sharaf al-Dīn al-Tūsī|Al-Tusi]] * [[Aristotle]] * [[At-Turtushi]]<ref>In al-Muqaddima, Ibn Khaldun cites him as a pioneer in sociology</ref> * [[Avempace|Ibn Bajja]] * [[Averroes|Ibn Rushd]]<ref name=""maydan"" /> * [[Avicenna|Ibn Sina]]<ref name=""maydan"" /> * [[Ibn Abi Zar]] * [[Ibn Hazm]] * [[Al-Tabari|Ibn Jarir]] * [[Al-Mawardi]]<ref>{{cite book |last1= Ayub |first1=Zulfiqar |title=The Biographies of the Elite Lives of the Scholars, Imams & Hadith Masters | publisher=Zulfiqar Ayub Publications| year=2015 |isbn= |page=200}}{{ISBN?}}</ref> *Al-Tilmisani<ref>{{Cite encyclopedia|title=Ibn al-Sakkak, Muhammad ibn Abi Ghalib|year=2002|encyclopedia=Ma'lamat al-Maghrib (Encyclopedia of Morocco)|first=Mohamed|last=Hajji|volume=15|editor1-last=Toufiq|editor1-first=Ahmed|editor2-last=Hajji|editor2-first=Mohamed|publisher=al-Jamī‘a al-Maghribiyya li-l-Ta’līf wa-l-Tarjama wa-l-Nashr|editor-link=Ahmed Toufiq|language=ar|page=5028}}</ref> {{endflatlist}}",ʿAbd al-Raḥmān,عَبْدُ الرَّحْمَٰنِ,[[Maliki]]<ref>{{cite encyclopedia |year=2010 |title=Ibn Khaldun |encyclopedia=The Biographical Encyclopaedia of Islamic Philosophy |publisher=[[Continuum International Publishing Group|Continuum]] |last=Ahmad |first=Zaid |editor-last=Oliver Leama |doi=10.1093/acref/9780199754731.001.0001 |isbn=978-0-19-975473-1}}</ref>,,Abū Zayd,أَبُو زَيْدٍ,,Walī al-Dīn,وَلِيُّ الدِّيْنِ,,,{{cslist| [[Historiography]]| [[sociology]]| [[economics]]| [[demography]]| [[political science]]}},,,{{infobox Arabic name|embed=yes,,,,Ibn Khaldun<br />{{lang|ar|ابن خلدون}},ibn Muḥammad ibn Muḥammad ibn Abī Bakr Muḥammad ibn al-Ḥasan ibn Khaldūn,بن مُحَمَّد بن مُحَمَّد بن أَبِي بَكْر مُحَمَّد بن الحَسَن  بن خَلْدُون,,,,al-Ḥaḍramī,الْحَضْرَمِيُّ }},,,"{{plainlist}} * [[Asabiyyah]] * [[State formation#Conflict theories|Conquest theory of state formation]] * [[Social cycle theory|Cyclical theory of empires]] * Economic growth theory<ref name=""Muqaddimah 2 1995 p 30"">Muqaddimah 2:272–273 quoted in Weiss (1995) p. 30</ref> * [[Supply and demand|Supply and demand theory]]<ref>{{harvnb|Weiss|1995|p=31}} quotes Muqaddimah 2:276–278</ref> * [[Supply-side economics]] {{endplainlist}}",,,,,,,,,,,,,,[[Islam]],,,,,,,,,,,,,,,
,,,776,Abū ʿUthman ʿAmr ibn Baḥr al-Kinānī al-Baṣrī,"[[Basra]], [[Abbasid Caliphate]]",,Syrian stamp of al-Jahiz from 1968,,,,,December 868/January 869 (aged 92-93),"Basra, Abbasid Caliphate","[[Mu'tazila]]<ref>{{cite encyclopedia |title=al-Jāḥiẓ |encyclopedia=Encyclopædia Britannica  |date=7 March 2012 |publisher=Encyclopædia Britannica, inc.|url=https://www.britannica.com/biography/al-Jahiz|access-date=22 June 2020}}</ref>}} }}",,,[[Islamic Golden Age]]/[[Medieval philosophy|Medieval era]],,,,,,,,,,,"Al-Jahiz stamp, 1968, Syria.jpg",,,,,,,,,,,,,,,,"[[Arabic literature]], [[Biology]], [[Trivium]], [[Islamic studies]], [[Islamic theology]]",,{{Infobox religious biography|embed = yes,,,,,al-Jahiz,,,,,,,,,,,,,,,,,,,,,,[[Islamic Philosophy]],,[[Islam]],,,,[[Aristotelianism]],,,,,,,,,,,
,,,{{circa|870}},,"[[Faryab Province|Faryab]], [[Greater Khorasan|Khorasan]] or <br/>[[Farab]], [[Transoxiana]]{{efn-ua|name=Faryab—Farab}}",,Portrait of Al-Farabi—Alpharabius{{efn-ua|name=Portrait}},,,,,{{circa|950}},[[Damascus]],,,,[[Islamic Golden Age]],,,,,,,,,,,Alpharabius in Liber Chronicarum 1493 AD.png,,,,,,,,,,,,,,,,[[Islamic philosophy#Political philosophy|Political Philosophy]] · [[Islamic philosophy#Philosophy of religion|Philosophy of Religion]] · [[Physics in the medieval Islamic world|Physics]] · [[Islamic metaphysics|Metaphysics]] · [[Logic in Islamic philosophy|Logic]] · [[Psychology in the medieval Islamic world|Psychology]] · [[Islamic philosophy#Epistemology|Epistemology]] · [[Islamic ethics|Ethics]] · [[History of lute-family instruments#Thinkers and polymaths of Central Asia and Arabia|Music Theory]],,,,,,,Abu Nasr Farabi,,,,,,,,,,"Father of [[Platonism in Islamic philosophy|Islamic Neoplatonism]], Founder of [[Islamic philosophy#Political philosophy|Islamic Political Philosophy]]",,"''[[Kitab al-Musiqi al-Kabir]]'' (""Grand Book of Music""),{{efn-ua|name=Music}} ''Ara Ahl al-Madina al-Fadila'' (""Virtuous City""),{{efn-ua|name=Virtuous}} ''Kitab Ihsa al-Ulum'' (""Enumeration of the Sciences""),{{efn-ua|name=Enumeration}} ''Risalah fi'l-Aql'' (Epistle on the Intellect){{efn-ua|name=Aql}} }}",,,,Second Master{{efn-ua|name=Title}},,,,,,[[Islamic philosophy]],,,,,,[[Aristotelianism]] · [[Platonism in Islamic Philosophy|Neoplatonism]],,,,,,,,,,,
,,,December 973,,"[[Ma'arrat al-Nu'man]], [[Hamdanid]] [[Emirate of Aleppo]]",,al-Ma'arri by [[Kahlil Gibran]],,,,,May 1057 (aged 83),"Ma'arrat al-Nu'man, [[Mirdasid]] Emirate of Aleppo",,,,[[Post-classical history|Post-classical era]] * [[Islamic Golden Age]],,,,,,,,,,,Al-Maʿarri by Khalil Gibran (cropped).png,,,,,,,,,,,,,,,,,,,,,,,Abu al-'Ala' al-Ma'arri<br>أبو العلاء المعري,,,,,,,,,,,,,,,,,,,,,,[[Middle Eastern philosophy]] * [[Arabic philosophy]],,,,,,{{plainlist| * [[Deism]] * [[Philosophical pessimism|Pessimism]] * [[Rationalism]] }},,,,,,,,,,,
,,,839 CE / 224 AH,,"[[Amol]], [[Tabaristan]], Abbasid Caliphate (present-day [[Iran]])",,,,,,,923 CE (aged 84) / 310 AH (aged 86),"[[Baghdad]], Abbasid Caliphate (present-day [[Iraq]])","[[Sunni]]<ref>Jonathan A.C. Brown (2007), ''The Canonization of al-Bukhārī and Muslim: The Formation and Function of the Sunnī Ḥadīth Canon'', p. 151. [[Brill Publishers]]. {{ISBN|978-90-04-15839-9}}.</ref>",,,[[Islamic Golden Age]],,,,,,,,,,,,,,,,,,[[Ijtihad|Independent]] (eponym of the [[Jariri school]]),,,,,,,,,{{flatlist| *[[Islamic history|History]] *[[tafsir|exegesis]] *[[fiqh|jurisprudence]] *[[aqidah|creed]] }},,,,,,,Al-Tabari,,,,ٱلطَّبَرِيّ,ar,,,,,,,,,,,,,,,,,[[Abbasid Caliphate]],,[[Islam]],,"{{interlanguage link|Al-Rahbi Park|ar|حديقة الرحبي}}, Baghdad, Iraq",,,,,,,,,[[Imam]],,,,
,Chest-length metal statue of bearded man in robes and turban holding a book and a cubic model.,,{{circa|780}},,,,"Statue in [[Madrid]], erected in 2020<ref>{{Cite news |date=November 26, 2020 |title=Monument to Muhammad al-Khwarizmi erected in Madrid |url=https://uza.uz/en/posts/monument-to-muhammad-al-khwarizmi-erected-in-madrid_189785 |url-status=live |archive-url=https://web.archive.org/web/20201126104717/https://uza.uz/en/posts/monument-to-muhammad-al-khwarizmi-erected-in-madrid_189785 |archive-date=November 26, 2020 |access-date=March 16, 2025 |work=[[Uzbekistan National News Agency]]}}</ref>",,,,,"{{circa|850|lk=no}}<ref>{{cite book |last1=Toomer |first1=Gerald J. |author1-link=Gerald J. Toomer |editor1-last=Gillispie |editor1-first=Charles Coulston |title=Dictionary of Scientific Biography |date=1970–1980 |isbn=978-0-684-16966-8|volume=VII |pages=358–365 |chapter=al-Khuwārizmī, Abu Ja'far Muḥammad ibn Mūsā|publisher=Scribner }}</ref><ref>{{cite book |last1=Vernet |first1=Juan |editor1-last=Gibb |editor1-first=H. A. R. |editor2-last=Kramers |editor2-first=J. H. |editor3-last=Lévi-Provençal |editor3-first=E. |editor4-last=Schacht |editor4-first=J. |title=The Encyclopaedia of Islam |date=1960–2005 |publisher=Brill |location=Leiden|volume=IV |pages=1070–1071 |edition=2nd |chapter=Al-Khwārizmī|oclc=399624}}</ref>",,,,,[[Islamic Golden Age]],,,,,,,,,,,"Madrid - Ciudad Universitaria, Monumento a Muhammad al-Juarismi (cropped).jpg",,,"[[Abu Kamil]] of Egypt,<ref name=MacTutor-AK>O'Connor, John J.; Robertson, Edmund F., [http://www-history.mcs.st-andrews.ac.uk/Biographies/Abu_Kamil.html ""Abū Kāmil Shujā' ibn Aslam""] {{Webarchive|url=https://web.archive.org/web/20131211214159/http://www-history.mcs.st-andrews.ac.uk/Biographies/Abu_Kamil.html |date=11 December 2013 }}, MacTutor History of Mathematics archive, University of St Andrews.</ref> [[Nicolo Tartaglia]]",,,,,,,,,,,,,{{hlist|[[Mathematics in the medieval Islamic world|Mathematics]]|[[Astronomy in the medieval Islamic world|astronomy]]|[[Geography and cartography in the medieval Islamic world|geography]]}},{{ubl|''[[Al-Jabr]]'' (820)|''[[Zij as-Sindhind]]'' (820)|''[[Geography (Ptolemy)|Kitab Surat al-Ard]]'' (833)}},,,,,,Muḥammad ibn Mūsā al-Khwārizmī,,,,{{nobold|{{lang|ar|{{Script|Arab|محمد بن موسى الخوارزميّ}}|rtl=yes}}}},,,,,,Treatises on [[algebra]] and the [[Hindu–Arabic numeral system]],,,,[[House of Wisdom]] in [[Baghdad]] (appt.&nbsp;{{circa|820|lk=no}}) }},,,,,,,,,,,,,,,,,,,,,,,,,
,,,{{circa|1058}},,"[[Tus, Iran|Tus]], [[Seljuk Empire]]",,Name of al-Ghazali,,,"[[Ashari]]<ref name=""jacb1"" /><ref>{{Cite book |title=The Qur'an: An Encyclopedia |last=Leaman |first=Oliver |publisher=[[Taylor & Francis]] |year=2006 |isbn=978-0415326391 |pages=[https://archive.org/details/quranencyclopedi2006unse/page/84 84] |url=https://archive.org/details/quranencyclopedi2006unse/page/84}}</ref>",,{{death date and age|df=y|1111|12|19|1058||}},"Tus, Seljuk Empire","[[Sunni]]<ref>{{cite book |last1=Meri |first1=Josef W. |last2=Bacharach |first2=Jere L. |title=Medieval Islamic Civilization: A-K |date=2006 |publisher=[[Taylor & Francis]] |isbn=978-0415966917 |page=293}}</ref><ref>{{cite book |last1=Böwering |first1=Gerhard |last2=Crone |first2=Patricia |title=The Princeton Encyclopedia of Islamic Political Thought |date=2013 |publisher=[[Princeton University Press]] |isbn=978-0691134840 |page=191 |quote=Ghazali (ca. 1058–1111) Abu Hamid Muhammad b. Muhammad al-Ghazali al-Tusi (the ""Proof of Islam"") is the most renowned Sunni theologian of the Seljuq period (1038–1194).}}</ref>",,,[[Islamic Golden Age]],,,,,,,,,[[Imam]],,,,,,"{{flatlist| * [[Harith al-Muhasibi]]<ref>{{cite journal |url=https://www.jstor.org/stable/25182038 |title=The Forerunner of Al-Ghazali |jstor=25182038 |last1=Smith |first1=Margaret |journal=The Journal of the Royal Asiatic Society of Great Britain and Ireland |year=1936 |volume=68 |issue=1 |pages=65–78 |doi=10.1017/S0035869X00076358 |s2cid=163151146|url-access=subscription }}</ref> * [[al-Juwayni]]<ref name=""www.ghazali.org"">{{Cite web |url=https://www.ghazali.org/site/teachers.htm |title=Imam Ghazali's Teachers: al-Ghazali's Website |website=www.ghazali.org}}</ref> * [[Avicenna]]<ref>{{cite journal | url=https://phm.znu.ac.ir/article_19567.html?lang=en | title=The Influence of Ibn Sina's Philosophical Believes on Al-Ghazali's Notion of Incorporeity | journal=Philosophical Meditations | date=22 November 2014 | volume=4 | issue=13 }}</ref> * [[Al-Raghib al-Isfahani]] }}",,,,,,,,,,,,"[[Sufism]], [[theology]] (''[[kalam]]''), [[philosophy]], [[logic]], [[Sharia]], [[Fiqh|Islamic jurisprudence]], [[Principles of Islamic jurisprudence]]",,,,,,,Al-Ghazali,,,,غزالی,fa,,,,,,,"''[[The Revival of Religious Sciences]]'', ''[[The Aims of the Philosophers]]'', ''[[The Incoherence of the Philosophers]]'', ''[[Kimiya-yi sa'ādat|The Alchemy of Happiness]]'', ''[[The Moderation in Belief]]'', ''[[The Condensed in Imam Shafi’i’s Jurisprudence]]'', ''[[Al-Mustasfa min 'ilm al-usul|On Legal theory of Muslim Jurisprudence]]''",,,,,,,,,,[[Seljuk Empire]] ([[Nishapur]])<ref name=Meri>{{cite book |last=Griffel |first=Frank |author-link=Frank Griffel |title=Medieval Islamic civilization: an encyclopedia |year=2006 |publisher=[[Routledge]] |location=New York |isbn=978-0415966900 |editor-last=Meri |editor-first=Josef W.}}</ref>{{rp|292}}<br />[[Abbasid Caliphate]] ([[Baghdad]])<br /> [[Fatimid Caliphate]] ([[Jerusalem]]) / ([[Damascus]])<ref name=Meri />{{rp|292}},,[[Islam]],,,[[Shafi'i]],,,,,,,,"[[Hujjat al-Islam]] ('Proof of Islam')<ref>{{Cite book |last=Janin |first=Hunt |url=https://archive.org/details/pursuitoflearnin0000jani_v6b1 |title=The pursuit of learning in the Islamic world : 610-2003 |date=2005 |publisher=Jefferson, NC : McFarland |others=Internet Archive |isbn=978-0-7864-1954-8}}</ref>",,,,
